ID;LON;LAT;NAME;CLASS;STATE;ANNUAL;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC
30670;-68.7463;-11.0109;Brasiléia;Sede Municipal;ACRE;4620;4655;4653;4268;4566;3945;4079;4285;4858;5102;5105;5157;4771
30670;-68.7442;-11.0293;Epitaciolândia;Sede Municipal;ACRE;4620;4655;4653;4268;4566;3945;4079;4285;4858;5102;5105;5157;4771
30970;-69.5658;-10.9394;Assis Brasil;Sede Municipal;ACRE;4615;4678;4661;4231;4532;3917;4026;4283;4947;5136;5092;5102;4771
31603;-68.4973;-10.652;Xapuri;Sede Municipal;ACRE;4607;4629;4586;4281;4578;3962;4125;4332;4894;5068;5071;5077;4686
31929;-67.6768;-10.5749;Capixaba;Sede Municipal;ACRE;4542;4486;4527;4264;4395;3957;3983;4228;4823;5070;5138;4952;4677
32906;-67.186;-10.3257;Plácido de Castro;Sede Municipal;ACRE;4523;4476;4490;4266;4385;3968;4093;4300;4829;4853;5073;4917;4626
33560;-67.7367;-10.1501;Senador Guiomard;Sede Municipal;ACRE;4558;4483;4594;4218;4417;3943;4088;4271;4874;5097;5137;4967;4611
33567;-67.0531;-10.0755;Acrelândia;Sede Municipal;ACRE;4515;4521;4522;4247;4371;3960;4084;4284;4807;4915;5008;4885;4574
33902;-67.8253;-9.9758;Rio Branco;Capital Estadual;ACRE;4560;4470;4608;4216;4414;3946;4088;4263;4866;5104;5105;5035;4606
34602;-67.9523;-9.834;Bujari;Sede Municipal;ACRE;4567;4501;4621;4231;4401;4011;4111;4316;4885;5031;5131;4989;4580
35335;-67.5408;-9.5942;Porto Acre;Sede Municipal;ACRE;4547;4411;4549;4278;4376;3975;4122;4333;4946;5010;5064;4914;4589
36055;-70.4907;-9.4469;Santa Rosa do Purus;Sede Municipal;ACRE;4591;4585;4698;4184;4434;4087;4106;4372;5028;5071;5006;4945;4580
36796;-71.9482;-9.1969;Jordão;Sede Municipal;ACRE;4640;4685;4804;4118;4494;4132;4151;4367;5047;5174;5038;5006;4669
37207;-68.6718;-9.0639;Sena Madureira;Sede Municipal;ACRE;4539;4479;4619;4286;4302;3959;4081;4303;4940;5035;5008;4882;4573
37924;-72.8002;-8.9394;Marechal Thaumaturgo;Sede Municipal;ACRE;4705;4717;4931;4178;4514;4261;4149;4357;5063;5333;5149;5067;4741
38341;-69.2684;-8.8333;Manoel Urbano;Sede Municipal;ACRE;4555;4458;4702;4220;4375;3967;4104;4381;5014;5120;5003;4802;4515
40234;-72.7542;-8.2636;Porto Walter;Sede Municipal;ACRE;4731;4779;4887;4257;4537;4301;4184;4419;5124;5306;5140;5056;4779
40642;-70.7726;-8.1574;Tarauacá;Sede Municipal;ACRE;4602;4555;4804;4236;4397;4088;4115;4341;5005;5193;5118;4843;4533
40646;-70.3537;-8.1635;Feijó;Sede Municipal;ACRE;4557;4505;4806;4211;4384;3993;4088;4275;4951;5090;5090;4785;4503
42573;-72.6505;-7.7342;Rodrigues Alves;Sede Municipal;ACRE;4680;4755;4923;4243;4490;4278;4184;4339;5049;5208;5028;4957;4708
42962;-72.9002;-7.617;Mâncio Lima;Sede Municipal;ACRE;4703;4752;4903;4335;4496;4279;4173;4323;5095;5200;5115;5005;4759
42965;-72.6761;-7.628;Cruzeiro do Sul;Sede Municipal;ACRE;4663;4738;4902;4248;4455;4285;4164;4363;4996;5135;5024;4950;4701
