ID;LON;LAT;NAME;CLASS;STATE;ANNUAL;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC
38744;-67.3924;-8.7427;Boca do Acre;Sede Municipal;AMAZONAS;4517;4371;4527;4246;4331;3920;4144;4374;4931;5086;4968;4761;4548
42630;-66.9925;-7.7135;Pauini;Sede Municipal;AMAZONAS;4465;4226;4478;4256;4249;3893;4208;4380;4969;5045;4857;4644;4383
43358;-72.5912;-7.5384;Guajará;Sede Municipal;AMAZONAS;4663;4676;4908;4233;4446;4283;4202;4354;5068;5138;5030;4949;4666
43453;-63.0332;-7.5121;Humaitá;Sede Municipal;AMAZONAS;4498;4189;4378;4377;4279;3926;4422;4523;4939;4971;4899;4660;4412
43776;-70.0234;-7.4322;Envira;Sede Municipal;AMAZONAS;4541;4405;4705;4333;4326;4012;4071;4313;4945;5156;5001;4703;4528
44222;-64.7952;-7.2645;Lábrea;Sede Municipal;AMAZONAS;4434;4213;4390;4280;4175;3820;4239;4376;4878;4969;4863;4636;4365
44662;-59.8852;-7.1984;Apuí;Sede Municipal;AMAZONAS;4433;4062;4358;4298;4041;3962;4481;4542;4960;4731;4765;4647;4351
44936;-71.6895;-7.051;Ipixuna;Sede Municipal;AMAZONAS;4605;4526;4821;4283;4410;4168;4100;4356;5052;5164;4980;4824;4577
46514;-69.8666;-6.6572;Eirunepé;Sede Municipal;AMAZONAS;4530;4319;4743;4354;4343;4047;4101;4285;4968;5110;4923;4722;4441
47339;-64.3957;-6.5262;Canutama;Sede Municipal;AMAZONAS;4451;4217;4448;4270;4228;3865;4237;4384;4938;4922;4903;4665;4339
47683;-68.2605;-6.425;Itamarati;Sede Municipal;AMAZONAS;4463;4230;4534;4283;4224;3950;4166;4272;4961;5108;4830;4631;4363
50047;-61.2899;-5.805;Manicoré;Sede Municipal;AMAZONAS;4416;4196;4292;4272;4097;3804;4287;4418;4966;4918;4766;4671;4300
50787;-63.1813;-5.6212;Tapauá;Sede Municipal;AMAZONAS;4410;4164;4394;4259;4122;3794;4180;4344;4927;4977;4865;4614;4284
52701;-60.3736;-5.1263;Novo Aripuanã;Sede Municipal;AMAZONAS;4462;4126;4294;4268;4027;3946;4370;4473;5086;5046;4891;4700;4320
53368;-66.9095;-4.8823;Carauari;Sede Municipal;AMAZONAS;4432;4117;4503;4364;4224;3846;4128;4267;4888;4957;4941;4618;4332
55078;-70.1911;-4.3678;Atalaia do Norte;Sede Municipal;AMAZONAS;4512;4335;4674;4492;4388;3984;4114;4082;4797;5085;4906;4845;4441
55079;-70.0346;-4.3781;Benjamin Constant;Sede Municipal;AMAZONAS;4537;4368;4713;4528;4406;4025;4148;4116;4857;5071;4912;4856;4438
55184;-59.5878;-4.3919;Borba;Sede Municipal;AMAZONAS;4412;3987;4153;4120;3985;3958;4296;4419;5045;5076;4970;4655;4284
55743;-69.9388;-4.242;Tabatinga;Sede Municipal;AMAZONAS;4501;4275;4679;4508;4362;4017;4121;4097;4863;5041;4886;4787;4375
56136;-63.1445;-4.0945;Coari;Sede Municipal;AMAZONAS;4513;4308;4556;4500;4115;3901;4308;4341;4976;5048;4954;4703;4441
56791;-61.3621;-3.8991;Beruri;Sede Municipal;AMAZONAS;4362;4149;4179;4180;3897;3817;4158;4308;4943;4957;4874;4612;4271
56814;-59.0945;-3.9008;Nova Olinda do Norte;Sede Municipal;AMAZONAS;4385;3918;4115;4009;3884;3941;4352;4469;5023;5078;4901;4718;4206
57101;-62.0592;-3.837;Codajás;Sede Municipal;AMAZONAS;4364;4077;4242;4250;3951;3829;4223;4389;4929;4875;4774;4583;4242
57118;-60.3695;-3.7684;Careiro;Sede Municipal;AMAZONAS;4324;3973;4060;4048;3826;3792;4243;4373;4926;4952;4811;4711;4169
57421;-61.6579;-3.7464;Anori;Sede Municipal;AMAZONAS;4463;4134;4271;4316;4031;3958;4364;4490;5084;4994;4926;4667;4318
57739;-61.3968;-3.5674;Anamã;Sede Municipal;AMAZONAS;4528;4214;4287;4369;4077;4022;4505;4533;5152;5080;5009;4752;4337
57761;-59.126;-3.5861;Autazes;Sede Municipal;AMAZONAS;4433;4047;4211;4114;3877;3969;4359;4392;5034;5137;4982;4783;4292
57976;-68.951;-3.4619;São Paulo de Olivença;Sede Municipal;AMAZONAS;4519;4249;4659;4546;4383;4035;4145;4061;4821;5049;4995;4826;4455
58005;-66.0723;-3.4848;Juruá;Sede Municipal;AMAZONAS;4366;4147;4393;4378;4149;3802;4026;4161;4756;4827;4794;4626;4334
58293;-68.1995;-3.3632;Amaturá;Sede Municipal;AMAZONAS;4527;4346;4710;4511;4362;3972;4163;4114;4852;5048;5016;4772;4457
58328;-64.7198;-3.3686;Tefé;Sede Municipal;AMAZONAS;4539;4338;4550;4544;4257;3937;4236;4319;4954;5037;5008;4749;4542
58371;-60.4617;-3.4412;Manaquiri;Sede Municipal;AMAZONAS;4494;4152;4247;4213;3977;3984;4440;4548;5088;5084;5038;4859;4291
58398;-57.7072;-3.3933;Maués;Sede Municipal;AMAZONAS;4466;3950;4133;4048;3842;3992;4508;4545;5158;5087;5113;4830;4391
58672;-61.221;-3.3158;Caapiranga;Sede Municipal;AMAZONAS;4378;4071;4213;4186;3986;3843;4357;4477;4958;4882;4844;4530;4188
58678;-60.622;-3.291;Manacapuru;Sede Municipal;AMAZONAS;4464;4133;4208;4222;4010;3949;4467;4542;5021;4971;4951;4790;4305
58683;-60.1904;-3.2752;Iranduba;Sede Municipal;AMAZONAS;4517;4143;4156;4170;4026;4060;4544;4634;5149;5138;5015;4901;4269
58943;-64.8011;-3.2277;Alvarães;Sede Municipal;AMAZONAS;4553;4312;4573;4518;4301;3999;4276;4364;4963;5035;5017;4775;4503
58993;-59.8269;-3.1973;Careiro da Várzea;Sede Municipal;AMAZONAS;4528;4114;4194;4197;4030;4034;4568;4607;5163;5216;5001;4878;4338
59218;-67.9461;-3.1032;Santo Antônio do Içá;Sede Municipal;AMAZONAS;4524;4333;4702;4500;4396;4010;4135;4161;4849;5029;4995;4763;4421
59297;-60.0221;-3.1194;Manaus;Capital Estadual;AMAZONAS;4323;3947;4017;4040;3831;3879;4385;4431;4934;4887;4778;4629;4118
59313;-58.4453;-3.139;Itacoatiara;Sede Municipal;AMAZONAS;4538;4109;4182;4149;3983;3982;4574;4585;5201;5259;5095;4895;4442
59316;-58.1501;-3.1288;Urucurituba;Sede Municipal;AMAZONAS;4435;3970;4146;4051;3839;3952;4500;4487;5094;5112;4980;4756;4329
