ID;LON;LAT;NAME;CLASS;STATE;ANNUAL;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC
65129;-52.4255;-0.9296;Vitória do Jari;Sede Municipal;AMAPÁ;4667;4444;4309;4333;4338;4544;4671;4745;5009;5098;5076;4930;4500
65366;-52.5227;-0.8379;Laranjal do Jari;Sede Municipal;AMAPÁ;4658;4352;4349;4363;4356;4524;4695;4722;5030;5118;5063;4893;4431
66931;-51.2895;-0.1137;Mazagão;Sede Municipal;AMAPÁ;4845;4566;4245;4208;4229;4635;4905;5074;5307;5491;5401;5288;4792
67143;-51.1733;-0.0458;Santana;Sede Municipal;AMAPÁ;4832;4531;4191;4117;4170;4627;4902;4991;5370;5563;5407;5334;4785
67144;-51.0702;0.0342;Macapá;Capital Estadual;AMAPÁ;4944;4714;4317;4232;4286;4710;4973;5090;5477;5618;5483;5456;4980
68381;-50.6991;0.6056;Itaubal;Sede Municipal;AMAPÁ;4735;4304;4042;3977;3990;4450;4823;5047;5461;5518;5448;5133;4623
68572;-51.4041;0.708;Porto Grande;Sede Municipal;AMAPÁ;4548;4169;4044;4042;4068;4326;4531;4680;5059;5297;5138;4898;4323
68759;-51.9507;0.7771;Pedra Branca do Amapari;Sede Municipal;AMAPÁ;4558;4155;4027;4083;4147;4381;4509;4680;5038;5289;5128;4935;4321
68946;-52.004;0.901;Serra do Navio;Sede Municipal;AMAPÁ;4575;4178;4009;4103;4175;4383;4481;4676;5028;5330;5211;4945;4382
68955;-51.1799;0.8569;Ferreira Gomes;Sede Municipal;AMAPÁ;4688;4230;4004;4047;4089;4428;4684;4888;5357;5477;5436;5149;4465
69144;-50.798;0.969;Cutias;Sede Municipal;AMAPÁ;4719;4301;4015;3931;4015;4438;4793;5030;5425;5513;5450;5200;4517
70034;-50.9091;1.5062;Tartarugalzinho;Sede Municipal;AMAPÁ;4595;4138;3916;3941;3952;4347;4624;4869;5254;5402;5267;5114;4318
70357;-50.7839;1.7448;Pracuúba;Sede Municipal;AMAPÁ;4647;4206;3954;3922;3933;4345;4553;4863;5247;5537;5446;5235;4528
70847;-50.796;2.0523;Amapá;Sede Municipal;AMAPÁ;4792;4256;4117;4110;4171;4581;4833;5105;5477;5544;5440;5211;4655
71184;-50.9505;2.4947;Calçoene;Sede Municipal;AMAPÁ;4773;4135;4037;4068;4200;4602;4919;5175;5488;5534;5435;5178;4510
71943;-51.8335;3.8404;Oiapoque;Sede Municipal;AMAPÁ;4705;4014;4039;3957;4447;4390;4657;5002;5423;5727;5432;5112;4254
