ID;LON;LAT;NAME;CLASS;STATE;ANNUAL;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC
14780;-39.5568;-18.0759;Mucuri;Sede Municipal;BAHIA;5135;6378;6471;5600;4743;4003;3717;3842;4634;5175;5423;5404;6222
15151;-39.3747;-17.8931;Nova Viçosa;Sede Municipal;BAHIA;5066;6215;6298;5517;4635;3964;3680;3815;4561;5075;5397;5404;6228
15522;-40.1132;-17.6836;Ibirapuã;Sede Municipal;BAHIA;4922;6156;6169;5367;4574;3873;3482;3654;4314;4890;5212;5201;6171
15531;-39.26;-17.7273;Caravelas;Sede Municipal;BAHIA;5042;6289;6304;5496;4515;3867;3596;3756;4493;4983;5398;5462;6343
15709;-40.3386;-17.6061;Lajedão;Sede Municipal;BAHIA;4933;6131;6247;5406;4622;3866;3504;3615;4280;4936;5250;5240;6094
15907;-39.7403;-17.5404;Teixeira de Freitas;Sede Municipal;BAHIA;4892;6158;6069;5229;4508;3839;3463;3655;4340;4883;5185;5243;6127
15912;-39.2039;-17.5199;Alcobaça;Sede Municipal;BAHIA;5111;6436;6458;5532;4550;3893;3622;3820;4517;5080;5445;5561;6420
16096;-40.2241;-17.3711;Medeiros Neto;Sede Municipal;BAHIA;4959;6156;6204;5451;4625;3855;3474;3642;4329;4989;5285;5320;6184
16300;-39.2231;-17.3368;Prado;Sede Municipal;BAHIA;5127;6352;6444;5580;4576;3953;3684;3841;4568;5137;5473;5537;6378
16483;-40.3325;-17.1647;Itanhém;Sede Municipal;BAHIA;4982;6084;6223;5470;4660;3866;3512;3680;4398;5074;5295;5298;6229
16486;-40.0977;-17.2187;Vereda;Sede Municipal;BAHIA;4981;6139;6270;5502;4630;3871;3500;3674;4344;5018;5296;5316;6209
16879;-39.5389;-17.0383;Itamaraju;Sede Municipal;BAHIA;4863;5981;6075;5374;4466;3832;3467;3651;4293;4849;5114;5211;6041
17262;-40.1593;-16.8433;Jucuruçu;Sede Municipal;BAHIA;4899;5960;6102;5428;4625;3865;3516;3661;4290;5009;5138;5138;6050
17656;-39.785;-16.5837;Guaratinga;Sede Municipal;BAHIA;4862;5886;5993;5403;4618;3929;3524;3738;4242;4865;5059;5116;5967
17658;-39.5597;-16.5737;Itabela;Sede Municipal;BAHIA;4850;5882;6043;5361;4537;3867;3480;3700;4243;4866;5100;5140;5990
18046;-39.5825;-16.372;Eunápolis;Sede Municipal;BAHIA;4846;5889;5951;5333;4587;3869;3504;3710;4241;4865;5097;5128;5973
18051;-39.0646;-16.4439;Porto Seguro;Sede Municipal;BAHIA;5127;6231;6351;5688;4700;4021;3686;3903;4577;5129;5458;5491;6295
18264;-39.0228;-16.2821;Santa Cruz Cabrália;Sede Municipal;BAHIA;5078;6190;6280;5613;4687;3971;3682;3866;4565;5064;5396;5402;6224
18684;-39.6136;-16.0824;Itagimirim;Sede Municipal;BAHIA;4878;5923;6013;5363;4622;3843;3509;3677;4263;4917;5135;5249;6022
18898;-39.5319;-15.9706;Itapebi;Sede Municipal;BAHIA;4863;5928;5991;5379;4613;3826;3517;3694;4308;4853;5081;5177;5984
19119;-38.8761;-15.8613;Belmonte;Sede Municipal;BAHIA;5276;6320;6469;5776;4834;4145;3766;4005;4785;5304;5694;5781;6435
19537;-40.0653;-15.6533;Itarantim;Sede Municipal;BAHIA;4934;6006;6065;5505;4677;3903;3494;3672;4270;5020;5203;5249;6139
19548;-38.954;-15.6727;Canavieiras;Sede Municipal;BAHIA;5199;6271;6402;5750;4747;4022;3684;3942;4637;5222;5584;5681;6455
19747;-40.4212;-15.565;Macarani;Sede Municipal;BAHIA;4897;5991;6134;5453;4684;3905;3457;3646;4171;4951;5094;5174;6098
19749;-40.2591;-15.6244;Maiquinique;Sede Municipal;BAHIA;4851;5878;6024;5355;4670;3909;3483;3649;4146;4918;5068;5128;5990
19753;-39.8743;-15.5932;Potiraguá;Sede Municipal;BAHIA;4859;5907;5999;5385;4592;3852;3477;3668;4262;4893;5088;5165;6021
19758;-39.3021;-15.5648;Mascote;Sede Municipal;BAHIA;4854;5883;5934;5443;4542;3841;3466;3720;4308;4884;5069;5182;5980
19953;-41.2381;-15.5064;Cândido Sales;Sede Municipal;BAHIA;5055;5999;6118;5356;4714;4008;3643;3884;4495;5461;5562;5362;6061
19956;-40.9076;-15.5325;Encruzilhada;Sede Municipal;BAHIA;4986;6057;5996;5313;4636;3936;3586;3815;4387;5295;5400;5312;6095
