ID;LON;LAT;NAME;CLASS;STATE;ANNUAL;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC
42518;-39.0722;-7.8291;Penaforte;Sede Municipal;CEARÁ;5743;5999;6003;5982;5477;4816;4496;4777;5535;6445;6439;6617;6324
42909;-39.0057;-7.6864;Jati;Sede Municipal;CEARÁ;5712;5953;5958;5886;5457;4826;4482;4757;5544;6424;6410;6561;6290
43299;-39.2767;-7.5855;Jardim;Sede Municipal;CEARÁ;5709;5968;5790;5792;5362;4732;4443;4726;5628;6498;6517;6685;6364
43692;-39.1162;-7.5338;Porteiras;Sede Municipal;CEARÁ;5764;5954;5811;5781;5389;4893;4623;4926;5775;6540;6492;6642;6339
43694;-38.9864;-7.489;Brejo Santo;Sede Municipal;CEARÁ;5869;6099;6057;6018;5682;5048;4725;5003;5758;6511;6521;6662;6342
44086;-39.0485;-7.3609;Abaiara;Sede Municipal;CEARÁ;5903;6031;5945;5895;5645;5176;4924;5227;5963;6568;6561;6619;6281
44089;-38.7711;-7.3864;Mauriti;Sede Municipal;CEARÁ;5886;6053;5966;5997;5705;5085;4800;5089;5865;6562;6568;6666;6274
44465;-40.459;-7.2842;Salitre;Sede Municipal;CEARÁ;5713;5456;5402;5392;5281;5141;5132;5455;6148;6509;6419;6324;5897
44476;-39.3088;-7.3008;Barbalha;Sede Municipal;CEARÁ;5831;5905;5833;5802;5449;5087;4923;5185;5965;6527;6508;6567;6221
44480;-38.9421;-7.3008;Milagres;Sede Municipal;CEARÁ;5891;6025;5944;5927;5671;5174;4905;5227;5908;6557;6547;6615;6197
44859;-40.1362;-7.2136;Araripe;Sede Municipal;CEARÁ;5738;5471;5450;5496;5236;5080;5118;5470;6209;6553;6445;6383;5948
44863;-39.7381;-7.1839;Santana do Cariri;Sede Municipal;CEARÁ;5708;5599;5483;5541;5255;5024;4918;5319;6086;6475;6372;6402;6028
44866;-39.4102;-7.229;Crato;Sede Municipal;CEARÁ;5848;5828;5757;5678;5459;5146;4974;5330;6123;6587;6556;6545;6191
44867;-39.3162;-7.2193;Juazeiro do Norte;Sede Municipal;CEARÁ;5875;5927;5884;5848;5551;5162;4938;5278;5991;6519;6568;6601;6231
44869;-39.1405;-7.2489;Missão Velha;Sede Municipal;CEARÁ;5867;6018;5887;5935;5628;5134;4844;5171;5929;6528;6530;6610;6195
44873;-38.7794;-7.177;Barro;Sede Municipal;CEARÁ;5875;5927;5911;5843;5550;5119;4895;5231;5936;6567;6578;6700;6242
45249;-40.3758;-7.0722;Campos Sales;Sede Municipal;CEARÁ;5789;5569;5569;5616;5353;5118;5013;5469;6168;6588;6479;6494;6030
45252;-40.0283;-7.093;Potengi;Sede Municipal;CEARÁ;5775;5558;5523;5610;5327;5112;5041;5418;6186;6580;6483;6435;6026
45256;-39.6752;-7.0887;Nova Olinda;Sede Municipal;CEARÁ;5861;5841;5780;5780;5483;5182;5034;5335;6062;6554;6551;6530;6194
45646;-39.7359;-6.9988;Altaneira;Sede Municipal;CEARÁ;5852;5774;5707;5766;5411;5214;5084;5397;6139;6624;6552;6473;6083
45651;-39.2825;-7.0344;Caririaçu;Sede Municipal;CEARÁ;5849;5805;5819;5787;5478;5160;5022;5313;6052;6525;6524;6591;6106
46035;-39.8711;-6.8713;Assaré;Sede Municipal;CEARÁ;5812;5654;5662;5718;5337;5230;5086;5390;6142;6555;6548;6421;6004
46038;-39.5654;-6.9219;Farias Brito;Sede Municipal;CEARÁ;5833;5732;5752;5804;5468;5194;5074;5371;6114;6526;6475;6455;6027
46041;-39.2182;-6.8886;Granjeiro;Sede Municipal;CEARÁ;5885;5869;5860;5820;5501;5184;5113;5377;6099;6534;6554;6568;6144
46044;-38.9745;-6.9339;Aurora;Sede Municipal;CEARÁ;5897;5939;5939;5859;5610;5200;4977;5299;6029;6503;6550;6636;6217
46424;-39.9871;-6.7747;Antonina do Norte;Sede Municipal;CEARÁ;5759;5540;5583;5706;5351;5155;4980;5343;6151;6544;6487;6355;5912
46431;-39.2952;-6.7898;Várzea Alegre;Sede Municipal;CEARÁ;5893;5890;5895;5819;5567;5232;5133;5401;6106;6470;6536;6533;6130
46436;-38.7182;-6.7831;Ipaumirim;Sede Municipal;CEARÁ;5965;6042;6059;5995;5715;5253;5030;5325;6057;6506;6573;6709;6321
46815;-39.7575;-6.6832;Tarrafas;Sede Municipal;CEARÁ;5784;5630;5683;5671;5370;5183;5077;5401;6153;6543;6448;6351;5900
46823;-38.9709;-6.7452;Lavras da Mangabeira;Sede Municipal;CEARÁ;5936;6003;5980;5898;5601;5202;5073;5323;6085;6528;6617;6669;6248
46825;-38.714;-6.7203;Baixio;Sede Municipal;CEARÁ;5974;6073;6049;6029;5715;5240;5053;5357;6065;6467;6635;6727;6282
