ID;LON;LAT;NAME;CLASS;STATE;ANNUAL;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC
9194;-41.5697;-21.1528;Apiacá;Sede Municipal;ESPÍRITO SANTO;4909;6204;6400;5207;4524;3855;3579;3677;4464;4891;5169;5026;5917
9364;-41.6731;-21.1246;Bom Jesus do Norte;Sede Municipal;ESPÍRITO SANTO;4870;6112;6253;5127;4490;3861;3622;3719;4488;4899;5097;4972;5800
9367;-41.3619;-21.0633;Mimoso do Sul;Sede Municipal;ESPÍRITO SANTO;4834;6169;6294;5083;4511;3801;3607;3636;4414;4846;5050;4937;5665
9370;-41.0472;-21.0968;Presidente Kennedy;Sede Municipal;ESPÍRITO SANTO;4952;6347;6614;5258;4550;3846;3630;3671;4473;4867;5164;5110;5896
9535;-41.6568;-21.0303;São José do Calçado;Sede Municipal;ESPÍRITO SANTO;4794;5950;6132;5020;4446;3784;3610;3705;4450;4899;5017;4870;5648
9538;-41.3463;-20.9513;Muqui;Sede Municipal;ESPÍRITO SANTO;4792;6050;6272;5058;4417;3782;3556;3643;4397;4866;4980;4841;5639
9543;-40.831;-21.01;Itapemirim;Sede Municipal;ESPÍRITO SANTO;5021;6537;6627;5341;4566;3831;3646;3703;4537;4965;5290;5174;6036
9543;-40.8388;-21.0403;Marataízes;Sede Municipal;ESPÍRITO SANTO;5021;6537;6627;5341;4566;3831;3646;3703;4537;4965;5290;5174;6036
9712;-41.1989;-20.9135;Atilio Vivacqua;Sede Municipal;ESPÍRITO SANTO;4947;6255;6492;5256;4555;3885;3652;3717;4471;4943;5156;5082;5903
9714;-40.9391;-20.8561;Rio Novo do Sul;Sede Municipal;ESPÍRITO SANTO;4868;6219;6420;5176;4469;3809;3627;3647;4407;4834;5069;4928;5806
9880;-41.6738;-20.7673;Guaçuí;Sede Municipal;ESPÍRITO SANTO;4800;5996;6185;4969;4383;3800;3620;3748;4508;4952;5054;4832;5549
9881;-41.5386;-20.7585;Alegre;Sede Municipal;ESPÍRITO SANTO;4893;6138;6333;5130;4475;3864;3665;3765;4513;5005;5135;4987;5707
9883;-41.3952;-20.7998;Jerônimo Monteiro;Sede Municipal;ESPÍRITO SANTO;4950;6169;6374;5234;4584;3946;3710;3782;4500;5003;5173;5071;5856
9885;-41.1202;-20.8467;Cachoeiro de Itapemirim;Sede Municipal;ESPÍRITO SANTO;5013;6355;6508;5328;4629;3945;3728;3775;4521;5001;5233;5156;5982
9888;-40.8136;-20.7918;Iconha;Sede Municipal;ESPÍRITO SANTO;4676;5991;6219;4956;4283;3679;3494;3548;4270;4673;4822;4694;5487
9889;-40.7272;-20.8339;Piúma;Sede Municipal;ESPÍRITO SANTO;4868;6232;6500;5229;4493;3800;3600;3643;4380;4813;5043;4932;5753
9890;-40.6429;-20.796;Anchieta;Sede Municipal;ESPÍRITO SANTO;5018;6404;6641;5396;4683;3900;3664;3735;4490;4938;5233;5152;5973
10053;-41.8409;-20.6936;Dores do Rio Preto;Sede Municipal;ESPÍRITO SANTO;4800;5893;6041;4897;4404;3806;3707;3824;4612;4963;5071;4781;5603
10061;-41.0074;-20.6714;Vargem Alta;Sede Municipal;ESPÍRITO SANTO;4822;6113;6155;5057;4483;3840;3645;3672;4434;4885;5005;4867;5703
10066;-40.5096;-20.6777;Guarapari;Sede Municipal;ESPÍRITO SANTO;4954;6423;6566;5305;4583;3901;3639;3692;4453;4896;5066;5033;5897
10232;-41.6835;-20.6207;Divino de São Lourenço;Sede Municipal;ESPÍRITO SANTO;4786;5913;6157;4955;4354;3755;3654;3793;4547;4960;5012;4811;5522
10236;-41.2035;-20.6037;Castelo;Sede Municipal;ESPÍRITO SANTO;4896;6108;6271;5163;4518;3898;3687;3785;4521;4973;5097;4998;5733
10241;-40.7546;-20.6401;Alfredo Chaves;Sede Municipal;ESPÍRITO SANTO;4714;5968;6199;4978;4332;3713;3548;3608;4299;4748;4861;4770;5542
10410;-41.6671;-20.5471;Ibitirama;Sede Municipal;ESPÍRITO SANTO;4742;5789;6091;4908;4326;3759;3639;3771;4509;4929;4945;4696;5539
10412;-41.416;-20.4657;Muniz Freire;Sede Municipal;ESPÍRITO SANTO;4866;6034;6207;5123;4547;3886;3731;3783;4547;4927;5034;4885;5681
10588;-41.6447;-20.3506;Irupi;Sede Municipal;ESPÍRITO SANTO;4727;5751;6047;4955;4381;3775;3636;3751;4454;4835;4897;4707;5539
10589;-41.5338;-20.3536;Iúna;Sede Municipal;ESPÍRITO SANTO;4782;5859;6129;5018;4460;3814;3660;3728;4482;4840;4963;4798;5639
10592;-41.2421;-20.3644;Conceição do Castelo;Sede Municipal;ESPÍRITO SANTO;4759;5886;6123;4991;4372;3750;3631;3736;4441;4878;4948;4803;5546
10598;-40.6598;-20.3608;Domingos Martins;Sede Municipal;ESPÍRITO SANTO;4673;5853;6143;5056;4335;3734;3509;3569;4214;4695;4755;4689;5527
10598;-40.6754;-20.4123;Marechal Floriano;Sede Municipal;ESPÍRITO SANTO;4673;5853;6143;5056;4335;3734;3509;3569;4214;4695;4755;4689;5527
10600;-40.4936;-20.383;Viana;Sede Municipal;ESPÍRITO SANTO;4866;6127;6453;5303;4527;3854;3612;3651;4354;4812;4917;4952;5834
10773;-41.1359;-20.3275;Venda Nova do Imigrante;Sede Municipal;ESPÍRITO SANTO;4684;5804;6060;4966;4388;3735;3566;3667;4363;4714;4839;4707;5402
10780;-40.4169;-20.2637;Cariacica;Sede Municipal;ESPÍRITO SANTO;4783;6037;6346;5239;4452;3803;3563;3631;4258;4713;4792;4843;5722
10781;-40.3135;-20.3164;Vitória;Capital Estadual;ESPÍRITO SANTO;4957;6199;6543;5401;4606;3931;3626;3723;4445;4902;5030;5117;5959
10782;-40.2878;-20.3422;Vila Velha;Sede Municipal;ESPÍRITO SANTO;5026;6309;6603;5452;4675;3961;3638;3754;4492;4972;5155;5246;6052
10949;-41.509;-20.2352;Ibatiba;Sede Municipal;ESPÍRITO SANTO;4707;5778;5961;4958;4512;3804;3589;3714;4391;4759;4833;4746;5440
11133;-41.2924;-20.15;Brejetuba;Sede Municipal;ESPÍRITO SANTO;4625;5618;5924;4895;4439;3765;3515;3636;4310;4633;4740;4654;5370
11134;-41.1264;-20.0783;Afonso Cláudio;Sede Municipal;ESPÍRITO SANTO;4753;5881;6134;5070;4566;3827;3591;3683;4389;4721;4872;4786;5515
11140;-40.5273;-20.1004;Santa Leopoldina;Sede Municipal;ESPÍRITO SANTO;4591;5716;5963;5017;4308;3721;3467;3529;4125;4557;4624;4587;5473
11142;-40.3078;-20.1215;Serra;Sede Municipal;ESPÍRITO SANTO;4903;6116;6440;5395;4557;3917;3630;3745;4348;4855;4957;4992;5891
11317;-40.7443;-20.0258;Santa Maria de Jetibá;Sede Municipal;ESPÍRITO SANTO;4619;5789;6036;5016;4389;3754;3492;3561;4190;4569;4610;4646;5376
11494;-41.0625;-19.8999;Laranja da Terra;Sede Municipal;ESPÍRITO SANTO;4836;6030;6184;5248;4706;3948;3638;3727;4392;4724;4905;4873;5663
11496;-40.8756;-19.8755;Itarana;Sede Municipal;ESPÍRITO SANTO;4798;5935;6264;5219;4615;3922;3560;3714;4327;4723;4865;4873;5559
11499;-40.5983;-19.9368;Santa Teresa;Sede Municipal;ESPÍRITO SANTO;4542;5650;5901;5008;4257;3689;3430;3480;4067;4497;4537;4583;5400
11500;-40.4081;-19.9375;Fundão;Sede Municipal;ESPÍRITO SANTO;4604;5773;6014;5084;4278;3713;3471;3568;4084;4521;4611;4627;5502
11678;-40.8605;-19.8023;Itaguaçu;Sede Municipal;ESPÍRITO SANTO;4820;5996;6307;5259;4616;3915;3600;3720;4325;4742;4879;4851;5630
11683;-40.3863;-19.7582;João Neiva;Sede Municipal;ESPÍRITO SANTO;4746;5955;6143;5273;4470;3858;3567;3671;4206;4649;4733;4790;5631
