ID;LON;LAT;NAME;CLASS;STATE;ANNUAL;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC
12672;-51.3998;-19.1856;Lagoa Santa;Sede Municipal;GOIÁS;5253;5752;5879;5385;5079;4448;4132;4387;5234;5194;5605;5807;6135
12854;-51.5499;-19.0678;Itajá;Sede Municipal;GOIÁS;5246;5764;5868;5399;5096;4460;4167;4388;5224;5172;5570;5766;6079
13031;-51.9259;-18.965;Aporé;Sede Municipal;GOIÁS;5183;5647;5846;5344;4946;4386;4172;4353;5218;5118;5462;5658;6044
13045;-50.5474;-18.9965;São Simão;Sede Municipal;GOIÁS;5245;5742;5917;5386;5051;4465;4168;4367;5206;5147;5585;5842;6058
13225;-50.6543;-18.9145;Paranaiguara;Sede Municipal;GOIÁS;5225;5675;5747;5321;5061;4500;4185;4455;5313;5206;5550;5727;5958
13399;-51.3489;-18.765;Itarumã;Sede Municipal;GOIÁS;5259;5777;5841;5396;5085;4483;4196;4407;5307;5195;5613;5780;6026
13403;-50.9437;-18.7623;Cachoeira Alta;Sede Municipal;GOIÁS;5238;5762;5796;5321;5062;4499;4177;4437;5331;5201;5552;5751;5967
13762;-51.1332;-18.5598;Caçu;Sede Municipal;GOIÁS;5240;5685;5748;5362;5087;4520;4197;4485;5398;5211;5515;5777;5895
13954;-49.9892;-18.4874;Inaciolândia;Sede Municipal;GOIÁS;5270;5801;5746;5254;5032;4562;4294;4508;5437;5309;5579;5767;5954
13959;-49.477;-18.4863;Cachoeira Dourada;Sede Municipal;GOIÁS;5230;5619;5757;5188;5071;4572;4326;4528;5430;5216;5551;5696;5811
14107;-52.6648;-18.3946;Chapadão do Céu;Sede Municipal;GOIÁS;5072;5539;5564;5100;4946;4442;4192;4363;5186;5099;5235;5409;5792
14129;-50.4551;-18.4476;Quirinópolis;Sede Municipal;GOIÁS;5228;5614;5667;5248;5072;4562;4313;4478;5442;5289;5560;5689;5798
14132;-50.136;-18.441;Gouvelândia;Sede Municipal;GOIÁS;5290;5745;5686;5295;5084;4606;4339;4547;5526;5315;5631;5773;5938
14141;-49.2162;-18.4097;Itumbiara;Sede Municipal;GOIÁS;5242;5588;5695;5177;5062;4623;4388;4569;5548;5308;5580;5597;5775
14156;-47.7779;-18.358;Três Ranchos;Sede Municipal;GOIÁS;5348;5687;6026;5304;5219;4726;4441;4621;5551;5520;5682;5585;5814
14294;-51.9591;-18.3072;Serranópolis;Sede Municipal;GOIÁS;5153;5560;5565;5232;5035;4511;4237;4439;5280;5200;5347;5579;5849
14302;-51.152;-18.2945;Aparecida do Rio Doce;Sede Municipal;GOIÁS;5190;5540;5680;5258;5028;4544;4299;4478;5419;5226;5449;5608;5751
14331;-48.219;-18.337;Anhanguera;Sede Municipal;GOIÁS;5317;5633;5923;5208;5137;4699;4410;4640;5561;5515;5690;5568;5814
14332;-48.1515;-18.2649;Cumari;Sede Municipal;GOIÁS;5298;5597;5860;5181;5114;4667;4417;4659;5542;5515;5692;5543;5785
14496;-49.7404;-18.2177;Bom Jesus de Goiás;Sede Municipal;GOIÁS;5207;5670;5642;5115;5019;4573;4321;4584;5476;5296;5504;5556;5733
14500;-49.3539;-18.177;Panamá;Sede Municipal;GOIÁS;5205;5547;5687;5097;5062;4626;4355;4577;5437;5277;5542;5536;5721
14514;-47.9444;-18.1661;Catalão;Sede Municipal;GOIÁS;5301;5651;5883;5145;5094;4670;4432;4705;5628;5522;5654;5516;5717
14515;-47.8342;-18.2336;Ouvidor;Sede Municipal;GOIÁS;5308;5644;5898;5158;5118;4683;4450;4723;5640;5531;5645;5510;5690
14518;-47.5631;-18.1538;Davinópolis;Sede Municipal;GOIÁS;5364;5681;6026;5191;5175;4730;4484;4798;5675;5629;5706;5503;5766
14673;-50.2137;-18.0887;Castelândia;Sede Municipal;GOIÁS;5290;5754;5775;5301;5112;4652;4356;4555;5530;5329;5574;5691;5849
14685;-49.0408;-18.1382;Buriti Alegre;Sede Municipal;GOIÁS;5230;5518;5778;5129;5105;4659;4410;4596;5491;5294;5583;5522;5669
14688;-48.7643;-18.0797;Água Limpa;Sede Municipal;GOIÁS;5278;5625;5819;5248;5148;4696;4424;4610;5415;5380;5616;5591;5764
14690;-48.562;-18.142;Corumbaíba;Sede Municipal;GOIÁS;5299;5578;5805;5262;5156;4715;4423;4641;5515;5487;5637;5620;5750
14693;-48.2556;-18.0601;Nova Aurora;Sede Municipal;GOIÁS;5320;5635;5879;5220;5175;4728;4456;4691;5613;5503;5647;5551;5742
14695;-48.0878;-18.1356;Goiandira;Sede Municipal;GOIÁS;5330;5682;5910;5196;5134;4693;4446;4705;5617;5561;5697;5555;5757
