ID;LON;LAT;NAME;CLASS;STATE;ANNUAL;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC
37434;-45.9336;-9.1103;Alto Parnaíba;Sede Municipal;MARANHÃO;5508;5344;5246;5111;5172;5286;5306;5459;6174;6401;5812;5376;5408
39730;-45.7479;-8.4737;Tasso Fragoso;Sede Municipal;MARANHÃO;5476;5172;5203;5107;5242;5325;5359;5512;5961;6439;5816;5359;5214
43623;-46.0375;-7.5326;Balsas;Sede Municipal;MARANHÃO;5350;4960;5067;5072;5108;5183;5296;5338;5803;6399;5717;5177;5082
44010;-46.6229;-7.3586;Riachão;Sede Municipal;MARANHÃO;5208;4775;4882;4818;4997;5191;5305;5263;5887;6200;5465;4912;4802
44395;-47.4638;-7.3363;Carolina;Sede Municipal;MARANHÃO;5178;4869;4925;4806;4847;5105;5344;5320;5943;6031;5342;4835;4774
44815;-44.5544;-7.2197;Benedito Leite;Sede Municipal;MARANHÃO;5503;5027;5089;5019;5118;5278;5385;5607;6032;6558;6040;5573;5312
45190;-46.261;-7.123;Nova Colinas;Sede Municipal;MARANHÃO;5212;4609;4810;4683;4917;5085;5373;5475;6097;6253;5488;4978;4769
45199;-45.3465;-7.1409;Sambaíba;Sede Municipal;MARANHÃO;5412;4867;5028;5018;5089;5256;5389;5531;6012;6528;5848;5286;5094
45201;-45.1389;-7.0864;Loreto;Sede Municipal;MARANHÃO;5449;4873;5154;5095;5156;5227;5315;5597;6060;6539;5895;5339;5142
45204;-44.8096;-7.0758;São Félix de Balsas;Sede Municipal;MARANHÃO;5482;4979;5122;5042;5116;5260;5396;5514;6047;6565;5997;5480;5267
45577;-46.682;-6.9624;Feira Nova do Maranhão;Sede Municipal;MARANHÃO;5168;4635;4721;4732;4859;5014;5343;5468;6043;6186;5435;4845;4738
45582;-46.1781;-6.9623;Fortaleza dos Nogueiras;Sede Municipal;MARANHÃO;5224;4626;4816;4736;4879;5088;5353;5493;6102;6289;5590;4953;4765
45589;-45.4812;-7.0222;São Raimundo das Mangabeiras;Sede Municipal;MARANHÃO;5352;4752;4900;4874;4996;5194;5363;5521;6106;6482;5802;5236;4996
46358;-46.5322;-6.8243;São Pedro dos Crentes;Sede Municipal;MARANHÃO;5174;4631;4773;4745;4812;4996;5294;5445;6008;6154;5512;4885;4829
