ID;LON;LAT;NAME;CLASS;STATE;ANNUAL;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC
6433;-46.3182;-22.8545;Extrema;Sede Municipal;MINAS GERAIS;4745;5271;5502;4811;4525;3761;3499;3634;4627;4767;5294;5432;5813
6572;-46.2244;-22.767;Itapeva;Sede Municipal;MINAS GERAIS;4731;5123;5444;4752;4502;3781;3554;3718;4666;4848;5299;5392;5688
6573;-46.1498;-22.752;Camanducaia;Sede Municipal;MINAS GERAIS;4770;5154;5491;4802;4540;3803;3558;3737;4676;4876;5365;5481;5751
6711;-46.3732;-22.7426;Toledo;Sede Municipal;MINAS GERAIS;4752;5171;5459;4747;4482;3804;3579;3754;4691;4876;5356;5411;5688
6716;-45.856;-22.655;Gonçalves;Sede Municipal;MINAS GERAIS;4612;5041;5383;4594;4319;3694;3446;3690;4656;4771;5166;5091;5495
6717;-45.7383;-22.7414;Sapucaí-Mirim;Sede Municipal;MINAS GERAIS;4725;5228;5599;4818;4445;3742;3492;3702;4651;4788;5255;5278;5699
6851;-46.3624;-22.6096;Munhoz;Sede Municipal;MINAS GERAIS;4816;5281;5522;4852;4525;3845;3603;3804;4732;4934;5398;5522;5770
6853;-46.1767;-22.5874;Senador Amaral;Sede Municipal;MINAS GERAIS;4657;5073;5370;4650;4385;3776;3537;3753;4688;4818;5190;5162;5479
6854;-46.0245;-22.6274;Córrego do Bom Jesus;Sede Municipal;MINAS GERAIS;4737;5213;5520;4768;4521;3824;3553;3765;4699;4855;5277;5273;5579
6854;-46.0576;-22.612;Cambuí;Sede Municipal;MINAS GERAIS;4737;5213;5520;4768;4521;3824;3553;3765;4699;4855;5277;5273;5579
6857;-45.7807;-22.5544;Paraisópolis;Sede Municipal;MINAS GERAIS;4801;5315;5635;4900;4550;3813;3559;3767;4681;4900;5365;5379;5750
6993;-46.1444;-22.468;Bom Repouso;Sede Municipal;MINAS GERAIS;4701;5137;5456;4696;4425;3782;3528;3779;4731;4865;5248;5223;5546
6994;-46.0194;-22.4582;Estiva;Sede Municipal;MINAS GERAIS;4694;5128;5489;4700;4444;3769;3515;3767;4669;4820;5232;5216;5571
6995;-45.9259;-22.5498;Consolação;Sede Municipal;MINAS GERAIS;4778;5246;5620;4807;4561;3822;3548;3790;4702;4886;5337;5329;5683
6998;-45.6134;-22.4705;Brazópolis;Sede Municipal;MINAS GERAIS;4810;5359;5663;4882;4547;3810;3555;3804;4660;4925;5365;5378;5769
7000;-45.4949;-22.5254;Piranguçu;Sede Municipal;MINAS GERAIS;4832;5373;5676;4932;4571;3828;3573;3790;4686;4957;5418;5375;5810
7001;-45.363;-22.5373;Wenceslau Braz;Sede Municipal;MINAS GERAIS;4805;5347;5633;4886;4510;3820;3593;3797;4697;4951;5399;5336;5694
7002;-45.2796;-22.5041;Delfim Moreira;Sede Municipal;MINAS GERAIS;4675;5192;5424;4665;4347;3759;3581;3772;4684;4878;5222;5141;5440
7130;-46.5734;-22.434;Monte Sião;Sede Municipal;MINAS GERAIS;4896;5459;5665;5043;4685;3910;3640;3866;4725;4931;5430;5604;5795
7132;-46.3495;-22.4388;Bueno Brandão;Sede Municipal;MINAS GERAIS;4896;5436;5700;5028;4647;3929;3635;3867;4738;4971;5438;5564;5803
7135;-46.0975;-22.3703;Tocos do Moji;Sede Municipal;MINAS GERAIS;4771;5217;5595;4820;4516;3815;3543;3829;4733;4895;5321;5320;5651
7137;-45.8;-22.4083;Conceição dos Ouros;Sede Municipal;MINAS GERAIS;4830;5324;5678;4865;4592;3867;3610;3826;4747;4919;5408;5401;5726
7138;-45.7813;-22.3516;Cachoeira de Minas;Sede Municipal;MINAS GERAIS;4839;5401;5656;4914;4594;3858;3614;3819;4681;4925;5394;5437;5770
7140;-45.5328;-22.3954;Piranguinho;Sede Municipal;MINAS GERAIS;4852;5402;5701;4940;4618;3839;3598;3824;4710;4966;5425;5405;5799
7141;-45.4602;-22.423;Itajubá;Sede Municipal;MINAS GERAIS;4839;5383;5662;4922;4557;3850;3611;3828;4703;4965;5423;5403;5767
7144;-45.1649;-22.4475;Marmelópolis;Sede Municipal;MINAS GERAIS;4624;5006;5370;4589;4319;3751;3526;3752;4698;4907;5184;4997;5388
7146;-44.9713;-22.3876;Passa Quatro;Sede Municipal;MINAS GERAIS;4802;5324;5682;4894;4511;3877;3584;3776;4686;4973;5381;5234;5705
7280;-46.617;-22.2864;Jacutinga;Sede Municipal;MINAS GERAIS;4861;5409;5555;4959;4629;3900;3661;3875;4765;4933;5403;5512;5740
7283;-46.372;-22.2783;Ouro Fino;Sede Municipal;MINAS GERAIS;4838;5300;5567;4909;4616;3906;3648;3879;4733;4951;5393;5475;5686
