ID;LON;LAT;NAME;CLASS;STATE;ANNUAL;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC
5138;-55.0403;-23.971;Sete Quedas;Sede Municipal;MATO GROSSO DO SUL;4802;6105;5737;5331;4317;3397;2961;3213;4202;4502;5341;6035;6490
5225;-55.4295;-23.8915;Paranhos;Sede Municipal;MATO GROSSO DO SUL;4793;6137;5716;5327;4302;3384;2974;3141;4152;4513;5309;6014;6546
5235;-54.4064;-23.8908;Japorã;Sede Municipal;MATO GROSSO DO SUL;4827;6102;5785;5318;4377;3453;3019;3250;4251;4540;5324;6054;6459
5237;-54.2815;-23.936;Mundo Novo;Sede Municipal;MATO GROSSO DO SUL;4836;6153;5788;5328;4400;3451;3031;3252;4234;4525;5332;6057;6489
5336;-54.2842;-23.7873;Eldorado;Sede Municipal;MATO GROSSO DO SUL;4848;6109;5791;5340;4396;3471;3056;3264;4264;4549;5361;6070;6502
5438;-54.5642;-23.674;Iguatemi;Sede Municipal;MATO GROSSO DO SUL;4820;6042;5788;5301;4346;3465;3036;3265;4246;4555;5339;6009;6444
5538;-55.0146;-23.6364;Tacuru;Sede Municipal;MATO GROSSO DO SUL;4799;5997;5698;5275;4358;3456;3052;3237;4218;4569;5313;5996;6417
5653;-54.1874;-23.4783;Itaquiraí;Sede Municipal;MATO GROSSO DO SUL;4863;6024;5770;5299;4409;3499;3127;3352;4307;4592;5361;6069;6548
5856;-55.5283;-23.2729;Coronel Sapucaia;Sede Municipal;MATO GROSSO DO SUL;4808;6041;5638;5277;4361;3451;3133;3268;4233;4600;5316;5887;6494
6086;-55.2258;-23.1062;Amambai;Sede Municipal;MATO GROSSO DO SUL;4795;5915;5584;5227;4364;3477;3171;3307;4336;4589;5291;5870;6414
6096;-54.1999;-23.0623;Naviraí;Sede Municipal;MATO GROSSO DO SUL;4867;5964;5776;5310;4442;3530;3182;3392;4333;4615;5369;6056;6427
6340;-55.6322;-22.9427;Aral Moreira;Sede Municipal;MATO GROSSO DO SUL;4801;5974;5621;5297;4384;3450;3157;3259;4304;4603;5317;5904;6347
6350;-54.6066;-22.8601;Juti;Sede Municipal;MATO GROSSO DO SUL;4868;5940;5752;5335;4426;3553;3231;3402;4386;4649;5344;5988;6412
6636;-53.8577;-22.6557;Novo Horizonte do Sul;Sede Municipal;MATO GROSSO DO SUL;4942;5902;5840;5361;4568;3683;3325;3516;4465;4717;5416;6061;6453
6766;-54.8214;-22.6372;Caarapó;Sede Municipal;MATO GROSSO DO SUL;4880;5899;5726;5310;4478;3635;3313;3428;4421;4682;5343;5946;6373
6897;-55.7208;-22.5301;Ponta Porã;Sede Municipal;MATO GROSSO DO SUL;4831;5826;5613;5282;4455;3539;3261;3365;4423;4701;5345;5852;6312
6903;-55.1506;-22.5486;Laguna Carapã;Sede Municipal;MATO GROSSO DO SUL;4850;5882;5705;5241;4448;3588;3297;3408;4420;4703;5334;5886;6289
6911;-54.3084;-22.4811;Jateí;Sede Municipal;MATO GROSSO DO SUL;4950;5949;5870;5369;4544;3672;3360;3512;4492;4761;5382;6033;6458
6921;-53.3513;-22.488;Taquarussu;Sede Municipal;MATO GROSSO DO SUL;4991;6001;5882;5417;4659;3729;3375;3557;4504;4755;5435;6078;6494
7050;-54.5135;-22.3794;Fátima do Sul;Sede Municipal;MATO GROSSO DO SUL;4916;5926;5770;5306;4545;3669;3344;3499;4450;4736;5347;5962;6440
7051;-54.4376;-22.4098;Vicentina;Sede Municipal;MATO GROSSO DO SUL;4945;6020;5838;5345;4563;3670;3364;3511;4469;4752;5373;5993;6442
7053;-54.2329;-22.418;Glória de Dourados;Sede Municipal;MATO GROSSO DO SUL;4969;5972;5869;5395;4579;3698;3363;3545;4508;4762;5423;6069;6444
