ID;LON;LAT;NAME;CLASS;STATE;ANNUAL;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC
15202;-53.2824;-17.8302;Alto Taquari;Sede Municipal;MATO GROSSO;5067;5426;5512;5077;4912;4492;4285;4435;5302;5222;5188;5351;5603
16160;-53.2185;-17.3158;Alto Araguaia;Sede Municipal;MATO GROSSO;5154;5472;5571;5141;5095;4633;4403;4547;5414;5314;5249;5417;5598
16345;-54.146;-17.2049;Itiquira;Sede Municipal;MATO GROSSO;5168;5581;5513;5217;4991;4542;4363;4564;5406;5219;5275;5600;5738
16933;-53.5276;-16.9467;Alto Garças;Sede Municipal;MATO GROSSO;5146;5498;5526;5100;5037;4646;4393;4569;5329;5276;5285;5457;5635
16938;-53.0317;-16.8569;Araguainha;Sede Municipal;MATO GROSSO;5236;5423;5623;5285;5209;4786;4470;4598;5479;5372;5325;5561;5702
17135;-52.8353;-16.7665;Ponte Branca;Sede Municipal;MATO GROSSO;5243;5506;5696;5221;5212;4818;4466;4543;5481;5376;5363;5524;5713
17509;-54.4764;-16.622;Pedra Preta;Sede Municipal;MATO GROSSO;5262;5651;5646;5396;5164;4684;4479;4614;5467;5237;5377;5670;5766
17701;-54.6376;-16.4677;Rondonópolis;Sede Municipal;MATO GROSSO;5168;5541;5515;5260;5061;4605;4408;4555;5450;5208;5276;5491;5639
17705;-54.2542;-16.4657;São José do Povo;Sede Municipal;MATO GROSSO;5286;5648;5635;5396;5185;4725;4516;4671;5506;5273;5420;5671;5782
17721;-52.6929;-16.4861;Ribeirãozinho;Sede Municipal;MATO GROSSO;5262;5618;5669;5263;5264;4820;4505;4549;5367;5377;5390;5609;5712
18088;-56.6265;-16.2665;Poconé;Sede Municipal;MATO GROSSO;5061;5559;5429;5159;4837;4241;4184;4368;5225;5037;5342;5540;5808
18117;-53.7642;-16.3466;Guiratinga;Sede Municipal;MATO GROSSO;5230;5437;5441;5230;5122;4754;4569;4742;5595;5376;5369;5531;5594
18308;-55.9666;-16.1971;Barão de Melgaço;Sede Municipal;MATO GROSSO;5175;5638;5560;5345;5139;4420;4369;4453;5428;5072;5318;5611;5743
18342;-52.5575;-16.201;Torixoréu;Sede Municipal;MATO GROSSO;5276;5522;5633;5249;5319;4881;4549;4670;5438;5424;5462;5534;5629
18504;-57.6822;-16.0768;Cáceres;Sede Municipal;MATO GROSSO;5063;5558;5383;5170;4836;4238;4236;4356;5159;5137;5370;5592;5718
18532;-54.8874;-16.0538;Juscimeira;Sede Municipal;MATO GROSSO;5157;5465;5471;5176;5071;4632;4501;4610;5546;5178;5199;5454;5577
18545;-53.5544;-16.0816;Tesouro;Sede Municipal;MATO GROSSO;5248;5530;5525;5194;5235;4831;4586;4745;5539;5398;5356;5485;5551
18744;-54.9738;-15.9552;Jaciara;Sede Municipal;MATO GROSSO;5128;5373;5361;5119;5094;4646;4536;4627;5561;5165;5140;5410;5498
18744;-54.9191;-16.0014;São Pedro da Cipa;Sede Municipal;MATO GROSSO;5128;5373;5361;5119;5094;4646;4536;4627;5561;5165;5140;5410;5498
18923;-58.4624;-15.8575;Porto Esperidião;Sede Municipal;MATO GROSSO;4977;5469;5322;5060;4772;4064;4117;4269;4963;5088;5370;5581;5649
18947;-56.0792;-15.8628;Santo Antônio do Leverger;Sede Municipal;MATO GROSSO;5148;5549;5471;5272;5039;4459;4353;4487;5437;5085;5291;5565;5770
18985;-52.272;-15.8895;Barra do Garças;Sede Municipal;MATO GROSSO;5256;5473;5603;5201;5294;4941;4585;4721;5489;5292;5489;5430;5545
18985;-52.2584;-15.906;Pontal do Araguaia;Sede Municipal;MATO GROSSO;5256;5473;5603;5201;5294;4941;4585;4721;5489;5292;5489;5430;5545
19139;-58.3085;-15.7684;Glória D'Oeste;Sede Municipal;MATO GROSSO;4975;5449;5297;5045;4777;4076;4119;4281;5005;5075;5359;5553;5670
19159;-56.3437;-15.7725;Nossa Senhora do Livramento;Sede Municipal;MATO GROSSO;5099;5484;5411;5164;4923;4374;4352;4503;5370;5098;5230;5568;5713
19173;-54.9222;-15.8099;Dom Aquino;Sede Municipal;MATO GROSSO;5106;5328;5263;5073;5098;4659;4575;4667;5589;5124;5090;5326;5477
19179;-54.3953;-15.8282;Poxoréu;Sede Municipal;MATO GROSSO;5138;5330;5313;5124;5070;4715;4578;4741;5653;5185;5176;5408;5361
19357;-58.0896;-15.6746;Mirassol d'Oeste;Sede Municipal;MATO GROSSO;4940;5423;5199;5010;4748;4135;4191;4298;5052;5038;5244;5408;5532
19410;-52.7578;-15.7099;General Carneiro;Sede Municipal;MATO GROSSO;5269;5442;5565;5257;5342;4969;4609;4807;5519;5387;5431;5384;5520
19419;-51.8378;-15.7241;Araguaiana;Sede Municipal;MATO GROSSO;5262;5588;5724;5255;5336;4904;4503;4717;5263;5358;5517;5403;5578
19570;-58.1777;-15.628;São José dos Quatro Marcos;Sede Municipal;MATO GROSSO;4934;5370;5214;4987;4741;4119;4206;4289;5046;5052;5227;5416;5536
19572;-57.9137;-15.6088;Curvelândia;Sede Municipal;MATO GROSSO;4951;5396;5188;5021;4777;4187;4232;4339;5091;5056;5187;5411;5527
19590;-56.1327;-15.6462;Várzea Grande;Sede Municipal;MATO GROSSO;5132;5497;5377;5202;4943;4441;4370;4528;5412;5133;5317;5584;5777
19591;-56.0983;-15.6018;Cuiabá;Capital Estadual;MATO GROSSO;5106;5456;5333;5170;4907;4414;4364;4522;5398;5134;5313;5555;5709
19608;-54.3031;-15.5526;Primavera do Leste;Sede Municipal;MATO GROSSO;5088;5403;5262;4994;5032;4725;4512;4706;5478;5133;5123;5293;5389
19780;-58.5787;-15.4962;Indiavaí;Sede Municipal;MATO GROSSO;4886;5254;5091;4917;4697;4069;4175;4258;5058;4990;5247;5465;5416
19782;-58.3429;-15.4645;Araputanga;Sede Municipal;MATO GROSSO;4893;5311;5103;4919;4701;4075;4188;4298;5103;5016;5175;5390;5437
19808;-55.7503;-15.4648;Chapada dos Guimarães;Sede Municipal;MATO GROSSO;4962;5116;5016;4849;4774;4446;4459;4639;5465;5087;5094;5245;5353
19814;-55.163;-15.5454;Campo Verde;Sede Municipal;MATO GROSSO;5049;5315;5174;4920;4942;4649;4528;4683;5418;5113;5068;5362;5416
19993;-58.7382;-15.449;Figueirópolis D'Oeste;Sede Municipal;MATO GROSSO;4871;5200;5039;4850;4656;4059;4194;4311;5062;5018;5215;5446;5403
20206;-59.0624;-15.2954;Vale de São Domingos;Sede Municipal;MATO GROSSO;4930;5273;5034;4806;4729;4142;4272;4376;5042;5084;5340;5536;5521
20208;-58.8728;-15.3384;Jauru;Sede Municipal;MATO GROSSO;4877;5197;4981;4802;4644;4079;4219;4319;5114;5026;5228;5488;5432
20216;-58.0049;-15.3186;Lambari D'Oeste;Sede Municipal;MATO GROSSO;4876;5116;5049;4898;4724;4209;4284;4386;5177;5003;5097;5306;5263
20224;-57.2045;-15.3333;Porto Estrela;Sede Municipal;MATO GROSSO;5061;5394;5271;5134;4864;4399;4389;4521;5125;5129;5334;5538;5633
20420;-59.3368;-15.2309;Pontes e Lacerda;Sede Municipal;MATO GROSSO;4938;5206;5015;4866;4788;4213;4290;4422;5034;5082;5323;5535;5483
20432;-58.1267;-15.2471;Rio Branco;Sede Municipal;MATO GROSSO;4789;5010;4894;4724;4640;4131;4261;4374;5164;4925;5001;5221;5118
20449;-56.4921;-15.2355;Jangada;Sede Municipal;MATO GROSSO;5129;5402;5375;5173;4951;4479;4477;4604;5408;5124;5281;5580;5690
20450;-56.3637;-15.1945;Acorizal;Sede Municipal;MATO GROSSO;5138;5431;5372;5170;4956;4477;4461;4598;5435;5119;5305;5610;5720
20647;-58.3821;-15.1209;Reserva do Cabaçal;Sede Municipal;MATO GROSSO;4726;4882;4768;4608;4532;4066;4241;4360;5179;4882;4957;5143;5099
20649;-58.1322;-15.1308;Salto do Céu;Sede Municipal;MATO GROSSO;4791;4922;4855;4728;4662;4181;4291;4408;5182;4933;5013;5215;5100
20659;-57.1882;-15.0706;Barra do Bugres;Sede Municipal;MATO GROSSO;5063;5371;5276;5090;4904;4398;4420;4527;5223;5119;5329;5523;5573
20845;-59.9477;-15.0044;Vila Bela da Santíssima Trindade;Sede Municipal;MATO GROSSO;4893;5121;4912;4903;4779;4189;4288;4437;5100;5031;5277;5390;5283
21109;-54.9736;-14.9292;Nova Brasilândia;Sede Municipal;MATO GROSSO;5175;5403;5285;5158;5157;4796;4665;4751;5510;5271;5279;5371;5460
21128;-53.0274;-14.9112;Novo São Joaquim;Sede Municipal;MATO GROSSO;5285;5455;5531;5290;5397;4978;4689;4943;5481;5360;5444;5338;5511
21299;-57.2849;-14.7803;Nova Olímpia;Sede Municipal;MATO GROSSO;4968;5232;5155;4963;4774;4336;4351;4510;5193;4994;5228;5423;5454
21307;-56.424;-14.8264;Rosário Oeste;Sede Municipal;MATO GROSSO;5050;5146;5196;5011;4842;4478;4457;4650;5428;5150;5219;5475;5549
21335;-53.6074;-14.8087;Santo Antônio do Leste;Sede Municipal;MATO GROSSO;5196;5379;5449;5145;5162;4830;4658;4892;5500;5270;5298;5336;5432
21514;-57.0507;-14.729;Denise;Sede Municipal;MATO GROSSO;4978;5193;5202;4988;4778;4359;4414;4564;5247;4993;5219;5360;5426
21521;-56.3288;-14.7196;Nobres;Sede Municipal;MATO GROSSO;5064;5200;5184;5032;4823;4499;4489;4708;5469;5180;5230;5436;5524
21537;-54.7762;-14.6616;Planalto da Serra;Sede Municipal;MATO GROSSO;5178;5314;5311;5143;5212;4811;4693;4824;5537;5213;5315;5379;5389
21561;-52.3525;-14.6746;Nova Xavantina;Sede Municipal;MATO GROSSO;5306;5485;5634;5326;5308;4955;4642;4903;5488;5478;5526;5422;5509
21724;-57.4937;-14.6233;Tangará da Serra;Sede Municipal;MATO GROSSO;4960;5115;5099;4964;4765;4348;4388;4561;5284;5063;5225;5302;5409
21917;-59.5885;-14.4771;Nova Lacerda;Sede Municipal;MATO GROSSO;4893;5036;4839;4739;4680;4285;4339;4536;5095;5035;5274;5444;5416
21917;-59.5413;-14.5413;Conquista D'Oeste;Sede Municipal;MATO GROSSO;4893;5036;4839;4739;4680;4285;4339;4536;5095;5035;5274;5444;5416
21942;-57.0095;-14.4949;Santo Afonso;Sede Municipal;MATO GROSSO;4999;5130;5147;4977;4827;4414;4440;4607;5314;5109;5237;5346;5443
21944;-56.8023;-14.4537;Nortelândia;Sede Municipal;MATO GROSSO;5031;5272;5211;4963;4826;4495;4470;4645;5368;5104;5247;5360;5414
