ID;LON;LAT;NAME;CLASS;STATE;ANNUAL;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC
36634;-50.3504;-9.3285;Santana do Araguaia;Sede Municipal;PARÁ;5046;4931;4961;4813;4688;4822;4972;5139;5778;5368;5091;5040;4950
38155;-49.7208;-8.859;Santa Maria das Barreiras;Sede Municipal;PARÁ;5108;4912;5001;4801;4762;4925;5100;5232;5890;5535;5121;5052;4967
40469;-49.2693;-8.2618;Conceição do Araguaia;Sede Municipal;PARÁ;5079;4792;4927;4815;4723;4915;5129;5262;5890;5658;5150;4888;4790
41628;-50.0321;-8.0257;Redenção;Sede Municipal;PARÁ;4981;4851;4900;4722;4689;4789;4990;4975;5698;5434;5054;4905;4764
42401;-50.7702;-7.8114;Cumaru do Norte;Sede Municipal;PARÁ;4803;4610;4671;4502;4478;4689;5010;5057;5575;5168;4744;4645;4484
42408;-50.0444;-7.8343;Pau D'Arco;Sede Municipal;PARÁ;4975;4861;4826;4705;4689;4820;5019;5106;5780;5391;4939;4838;4725
43194;-49.7022;-7.5573;Floresta do Araguaia;Sede Municipal;PARÁ;4954;4741;4787;4686;4638;4795;5038;5132;5722;5441;4996;4770;4704
43972;-50.4077;-7.3517;Bannach;Sede Municipal;PARÁ;4823;4624;4660;4588;4545;4704;4996;4966;5573;5207;4796;4669;4548
44369;-50.0432;-7.3174;Rio Maria;Sede Municipal;PARÁ;4938;4754;4803;4681;4682;4842;5015;5046;5666;5341;4968;4773;4681
45099;-55.379;-7.1439;Novo Progresso;Sede Municipal;PARÁ;4600;4340;4330;4302;4183;4343;4665;4664;5224;4927;4918;4728;4567
45153;-49.9441;-7.0987;Xinguara;Sede Municipal;PARÁ;4927;4723;4790;4666;4667;4850;5044;5039;5641;5385;4930;4745;4645
45936;-49.7008;-6.9411;Sapucaia;Sede Municipal;PARÁ;4917;4680;4760;4683;4647;4841;5043;5083;5606;5394;4952;4692;4623
46313;-51.0862;-6.7533;Ourilândia do Norte;Sede Municipal;PARÁ;4740;4459;4567;4480;4445;4625;4866;4888;5363;5232;4823;4658;4470
46319;-50.485;-6.8055;Água Azul do Norte;Sede Municipal;PARÁ;4840;4677;4715;4660;4556;4731;4906;4958;5475;5249;4875;4725;4552
46701;-51.163;-6.7473;Tucumã;Sede Municipal;PARÁ;4758;4493;4601;4474;4478;4673;4938;4881;5401;5191;4814;4687;4464
47079;-51.9908;-6.6429;São Félix do Xingu;Sede Municipal;PARÁ;4704;4342;4583;4523;4436;4619;4903;4836;5285;5094;4803;4635;4390
