ID;LON;LAT;NAME;CLASS;STATE;ANNUAL;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC
40979;-37.0093;-8.1528;São Sebastião do Umbuzeiro;Sede Municipal;PARAÍBA;5664;6195;5983;6043;5514;4741;4274;4384;5217;6142;6392;6683;6397
41367;-37.0993;-8.076;Zabelê;Sede Municipal;PARAÍBA;5686;6187;6042;5992;5513;4737;4314;4463;5219;6166;6425;6725;6447
41370;-36.8554;-8.0778;São João do Tigre;Sede Municipal;PARAÍBA;5662;6134;5973;5991;5585;4713;4254;4437;5285;6129;6338;6675;6426
42147;-37.1221;-7.8947;Monteiro;Sede Municipal;PARAÍBA;5788;6300;6131;6152;5702;4902;4399;4556;5314;6284;6508;6775;6426
42150;-36.8245;-7.8855;Camalaú;Sede Municipal;PARAÍBA;5728;6200;6104;6097;5673;4849;4395;4499;5273;6168;6430;6653;6390
42542;-36.6584;-7.7912;Congo;Sede Municipal;PARAÍBA;5657;6137;6012;6053;5631;4838;4359;4479;5212;6028;6325;6535;6274
42545;-36.3166;-7.7527;Barra de São Miguel;Sede Municipal;PARAÍBA;5538;6003;5906;5926;5460;4788;4321;4457;5170;5855;6122;6350;6091
42918;-38.1003;-7.7431;São José de Princesa;Sede Municipal;PARAÍBA;5890;6157;6109;6139;5720;5048;4690;4940;5779;6472;6564;6738;6323
42918;-38.1526;-7.7037;Manaíra;Sede Municipal;PARAÍBA;5890;6157;6109;6139;5720;5048;4690;4940;5779;6472;6564;6738;6323
42920;-37.994;-7.7366;Princesa Isabel;Sede Municipal;PARAÍBA;5879;6182;6137;6126;5768;5054;4626;4890;5727;6445;6554;6687;6350
42929;-37.0836;-7.695;Prata;Sede Municipal;PARAÍBA;5766;6183;6100;6063;5734;4948;4454;4611;5383;6232;6475;6657;6353
42931;-36.8828;-7.6725;Sumé;Sede Municipal;PARAÍBA;5695;6118;6053;6032;5636;4885;4401;4573;5282;6138;6378;6574;6277
42935;-36.4935;-7.7283;Caraúbas;Sede Municipal;PARAÍBA;5533;5969;5887;5949;5474;4759;4249;4433;5161;5867;6166;6371;6119
42938;-36.1577;-7.681;Riacho de Santo Antônio;Sede Municipal;PARAÍBA;5435;5886;5858;5856;5351;4703;4176;4381;5048;5710;6004;6260;5986
42939;-36.0514;-7.7371;Alcantil;Sede Municipal;PARAÍBA;5384;5857;5813;5792;5295;4681;4158;4370;4994;5639;5924;6186;5902
42941;-35.8794;-7.743;Santa Cecília;Sede Municipal;PARAÍBA;5339;5725;5763;5777;5234;4597;4149;4332;5001;5616;5871;6100;5906
42943;-35.6639;-7.6955;Umbuzeiro;Sede Municipal;PARAÍBA;5310;5664;5769;5832;5203;4510;4037;4246;4960;5571;5822;6131;5979
43306;-38.5101;-7.5563;Conceição;Sede Municipal;PARAÍBA;5897;6212;6063;6017;5688;5069;4703;4938;5776;6530;6556;6780;6437
43306;-38.5593;-7.6268;Santa Inês;Sede Municipal;PARAÍBA;5897;6212;6063;6017;5688;5069;4703;4938;5776;6530;6556;6780;6437
43308;-38.3365;-7.552;Santana de Mangueira;Sede Municipal;PARAÍBA;5920;6167;6107;6083;5783;5108;4744;5018;5784;6495;6584;6777;6388
43313;-37.8715;-7.6274;Tavares;Sede Municipal;PARAÍBA;5882;6129;6142;6120;5778;5063;4731;4992;5765;6427;6506;6646;6278
43320;-37.1522;-7.6165;Ouro Velho;Sede Municipal;PARAÍBA;5803;6136;6122;6100;5747;4982;4527;4720;5465;6310;6525;6668;6335
43321;-37.063;-7.5674;Amparo;Sede Municipal;PARAÍBA;5778;6210;6099;6065;5705;4959;4491;4700;5466;6248;6479;6603;6309
43325;-36.6058;-7.6275;Coxixola;Sede Municipal;PARAÍBA;5599;5954;5911;5989;5549;4880;4358;4523;5231;6006;6256;6396;6135
43327;-36.4377;-7.6332;São Domingos do Cariri;Sede Municipal;PARAÍBA;5497;5884;5777;5916;5394;4773;4207;4437;5090;5861;6155;6338;6127
43334;-35.7902;-7.5832;Gado Bravo;Sede Municipal;PARAÍBA;5278;5665;5735;5753;5206;4560;4068;4297;4916;5524;5788;6033;5788
43336;-35.5531;-7.6435;Natuba;Sede Municipal;PARAÍBA;5376;5709;5925;5900;5300;4543;4079;4234;5009;5618;5917;6219;6062
43699;-38.4062;-7.48;Ibiara;Sede Municipal;PARAÍBA;5941;6247;6143;6043;5756;5134;4738;5001;5824;6548;6588;6798;6476
43702;-38.199;-7.5394;Curral Velho;Sede Municipal;PARAÍBA;5974;6223;6133;6223;5864;5199;4766;5005;5870;6554;6639;6798;6423
43703;-38.0399;-7.4784;Nova Olinda;Sede Municipal;PARAÍBA;5977;6252;6179;6251;5888;5179;4757;5001;5862;6534;6608;6782;6428
43705;-37.8202;-7.5383;Juru;Sede Municipal;PARAÍBA;5899;6068;6073;6036;5780;5124;4781;5022;5824;6535;6577;6694;6270
43707;-37.636;-7.5119;Água Branca;Sede Municipal;PARAÍBA;5899;6136;6077;6081;5805;5096;4763;5014;5808;6494;6557;6679;6281
43717;-36.6663;-7.4808;Serra Branca;Sede Municipal;PARAÍBA;5606;5958;5938;5982;5532;4872;4344;4600;5268;6009;6239;6398;6134
43721;-36.2881;-7.4919;Cabaceiras;Sede Municipal;PARAÍBA;5561;5922;6058;6017;5501;4827;4236;4475;5143;5864;6132;6366;6192
43722;-36.1323;-7.4826;Boqueirão;Sede Municipal;PARAÍBA;5440;5877;5884;5869;5388;4733;4183;4374;5019;5702;5957;6231;6062
43724;-35.9958;-7.5178;Barra de Santana;Sede Municipal;PARAÍBA;5334;5796;5759;5790;5270;4617;4047;4261;4956;5585;5869;6158;5905
43726;-35.7068;-7.5452;Aroeiras;Sede Municipal;PARAÍBA;5303;5718;5740;5791;5254;4549;4045;4245;4957;5545;5827;6059;5911
43734;-34.9058;-7.5139;Caaporã;Sede Municipal;PARAÍBA;5410;5746;6018;6004;5306;4648;4264;4333;5109;5549;5871;6031;6045
