ID;LON;LAT;NAME;CLASS;STATE;ANNUAL;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC
36354;-40.5031;-9.3891;Petrolina;Sede Municipal;PERNAMBUCO;5767;6381;6165;6027;5242;4828;4576;4820;5553;6323;6401;6503;6384
37133;-38.2693;-9.1869;Jatobá;Sede Municipal;PERNAMBUCO;5580;6344;6151;6081;5426;4624;4092;4293;4939;5888;6110;6580;6431
37149;-36.686;-9.1696;Bom Conselho;Sede Municipal;PERNAMBUCO;5356;6063;5901;5895;5207;4247;3810;3986;4614;5569;5996;6554;6430
37511;-38.29;-9.0771;Petrolândia;Sede Municipal;PERNAMBUCO;5640;6335;6123;6094;5461;4679;4165;4389;5132;6013;6181;6639;6470
37512;-38.1498;-9.1034;Tacaratu;Sede Municipal;PERNAMBUCO;5637;6382;6117;6056;5397;4620;4135;4321;5085;6071;6292;6704;6471
37522;-37.1229;-9.1117;Águas Belas;Sede Municipal;PERNAMBUCO;5473;6227;6010;6015;5299;4403;3952;4174;4795;5722;6112;6560;6407
37527;-36.6245;-9.056;Terezinha;Sede Municipal;PERNAMBUCO;5398;6062;5916;5936;5258;4282;3925;4053;4699;5623;6005;6577;6435
37529;-36.4587;-9.1261;Lagoa do Ouro;Sede Municipal;PERNAMBUCO;5277;6014;5843;5836;5193;4246;3777;3873;4524;5471;5841;6384;6315
37530;-36.3247;-9.1216;Correntes;Sede Municipal;PERNAMBUCO;5244;6004;5835;5860;5191;4241;3751;3827;4509;5401;5748;6320;6245
37870;-40.2702;-8.9946;Lagoa Grande;Sede Municipal;PERNAMBUCO;5695;6217;5919;5923;5273;4758;4513;4755;5574;6352;6365;6462;6223
37896;-37.6245;-8.961;Manari;Sede Municipal;PERNAMBUCO;5578;6380;6116;6066;5457;4504;3976;4173;4889;5879;6265;6721;6504
37904;-36.8465;-9.0437;Iati;Sede Municipal;PERNAMBUCO;5439;6157;5904;5882;5313;4403;3950;4113;4785;5711;6104;6552;6396
37906;-36.6913;-8.9727;Saloá;Sede Municipal;PERNAMBUCO;5349;6079;5850;5897;5233;4252;3803;3953;4606;5569;5987;6562;6403
37907;-36.5679;-9.0281;Brejão;Sede Municipal;PERNAMBUCO;5304;6108;5855;5858;5192;4242;3732;3870;4531;5510;5901;6509;6346
37909;-36.3245;-9.0113;Palmeirina;Sede Municipal;PERNAMBUCO;5206;5974;5727;5800;5143;4209;3696;3795;4452;5363;5702;6348;6268
38274;-37.8303;-8.9;Inajá;Sede Municipal;PERNAMBUCO;5622;6423;6097;6125;5488;4549;4042;4245;4968;5946;6323;6689;6565
38278;-37.4214;-8.947;Itaíba;Sede Municipal;PERNAMBUCO;5628;6387;6147;6179;5506;4526;4049;4231;4984;5961;6336;6730;6501
38286;-36.6552;-8.9192;Paranatama;Sede Municipal;PERNAMBUCO;5412;6149;5887;5938;5259;4344;3904;4068;4762;5699;6042;6496;6390
38288;-36.4969;-8.8829;Garanhuns;Sede Municipal;PERNAMBUCO;5252;6000;5706;5817;5130;4272;3812;3942;4587;5448;5763;6319;6226
38289;-36.3656;-8.8762;São João;Sede Municipal;PERNAMBUCO;5219;5941;5679;5788;5109;4281;3809;3922;4555;5400;5704;6262;6177
38290;-36.288;-8.8882;Angelim;Sede Municipal;PERNAMBUCO;5198;5827;5699;5757;5127;4264;3810;3928;4546;5384;5673;6208;6150
38291;-36.1982;-8.8769;Canhotinho;Sede Municipal;PERNAMBUCO;5155;5808;5679;5688;5088;4237;3778;3851;4508;5341;5645;6148;6088
38301;-35.1518;-8.8898;São José da Coroa Grande;Sede Municipal;PERNAMBUCO;5417;5967;5998;6061;5128;4428;4162;4212;4928;5636;5994;6213;6273
38635;-39.8244;-8.7981;Santa Maria da Boa Vista;Sede Municipal;PERNAMBUCO;5670;6193;5934;5962;5325;4708;4408;4603;5391;6271;6396;6539;6317
38644;-38.9626;-8.7509;Belém de São Francisco;Sede Municipal;PERNAMBUCO;5746;6383;6281;6225;5562;4768;4302;4535;5250;6107;6299;6594;6639
38647;-38.6978;-8.8227;Itacuruba;Sede Municipal;PERNAMBUCO;5816;6528;6330;6318;5665;4879;4520;4765;5366;6098;6238;6510;6576
38660;-37.3432;-8.7536;Tupanatinga;Sede Municipal;PERNAMBUCO;5634;6343;6147;6199;5550;4515;4015;4180;4956;5986;6361;6779;6579
38667;-36.6263;-8.7725;Caetés;Sede Municipal;PERNAMBUCO;5442;6165;5947;5986;5328;4379;3918;4122;4804;5691;6049;6501;6411
38673;-36.014;-8.8122;Quipapá;Sede Municipal;PERNAMBUCO;5067;5717;5618;5657;4981;4133;3716;3736;4344;5223;5580;6042;6063
38674;-35.9456;-8.817;São Benedito do Sul;Sede Municipal;PERNAMBUCO;5095;5765;5656;5705;5046;4131;3725;3822;4421;5240;5543;6022;6060
38675;-35.8269;-8.7911;Maraial;Sede Municipal;PERNAMBUCO;5063;5648;5616;5656;5031;4181;3739;3839;4425;5234;5481;5966;5940
38677;-35.6215;-8.805;Xexéu;Sede Municipal;PERNAMBUCO;5087;5634;5591;5647;5002;4223;3880;3917;4547;5288;5496;5926;5894
38682;-35.1036;-8.7571;Tamandaré;Sede Municipal;PERNAMBUCO;5337;5832;5917;6001;5075;4332;4095;4173;4855;5566;5894;6129;6176
38682;-35.1835;-8.8165;Barreiros;Sede Municipal;PERNAMBUCO;5337;5832;5917;6001;5075;4332;4095;4173;4855;5566;5894;6129;6176
