ID;LON;LAT;NAME;CLASS;STATE;ANNUAL;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC
31500;-44.8341;-10.8174;Sebastião Barros;Sede Municipal;PIAUÍ;5780;5911;5754;5546;5419;5459;5310;5551;6162;6458;6138;5752;5900
32133;-45.1896;-10.6447;Cristalândia do Piauí;Sede Municipal;PIAUÍ;5793;5957;5746;5547;5418;5380;5317;5562;6262;6393;6105;5812;6020
32781;-45.1637;-10.4338;Corrente;Sede Municipal;PIAUÍ;5768;5835;5702;5465;5385;5408;5320;5574;6222;6355;6127;5866;5963
33119;-44.2391;-10.3274;Júlio Borges;Sede Municipal;PIAUÍ;5845;5975;5839;5687;5455;5362;5286;5579;6270;6606;6210;5865;5999
33445;-44.6376;-10.224;Parnaguá;Sede Municipal;PIAUÍ;5836;5996;5807;5626;5495;5478;5300;5571;6200;6452;6228;5888;5995
33774;-44.9542;-10.1293;Riacho Frio;Sede Municipal;PIAUÍ;5787;5894;5770;5532;5446;5449;5320;5506;6160;6413;6197;5845;5905
33784;-43.9496;-10.1347;Avelino Lopes;Sede Municipal;PIAUÍ;5866;6081;5790;5684;5528;5391;5258;5540;6235;6485;6329;6014;6053
34115;-45.3022;-10.0307;São Gonçalo do Gurguéia;Sede Municipal;PIAUÍ;5729;5843;5682;5422;5299;5432;5323;5491;6113;6424;6153;5725;5845
34125;-44.3006;-10.033;Curimatá;Sede Municipal;PIAUÍ;5853;6021;5811;5698;5544;5424;5280;5550;6191;6476;6265;5959;6018
34464;-45.4735;-9.9239;Barreiras do Piauí;Sede Municipal;PIAUÍ;5676;5844;5735;5481;5339;5426;5200;5253;5885;6285;6135;5692;5840
34828;-45.3041;-9.7541;Monte Alegre do Piauí;Sede Municipal;PIAUÍ;5703;5786;5667;5453;5386;5481;5221;5356;6066;6376;6132;5704;5808
34828;-45.337;-9.8309;Gilbués;Sede Municipal;PIAUÍ;5703;5786;5667;5453;5386;5481;5221;5356;6066;6376;6132;5704;5808
35205;-43.9082;-9.7277;Morro Cabeça no Tempo;Sede Municipal;PIAUÍ;5873;5927;5656;5593;5425;5470;5433;5770;6437;6698;6301;5894;5867
35936;-44.5798;-9.4851;Redenção do Gurguéia;Sede Municipal;PIAUÍ;5743;5793;5563;5470;5400;5412;5315;5601;6213;6479;6157;5753;5755
35954;-42.7906;-9.4791;Fartura do Piauí;Sede Municipal;PIAUÍ;5899;6055;5815;5696;5405;5251;5223;5632;6361;6622;6463;6184;6089
36323;-43.6918;-9.3944;Guaribas;Sede Municipal;PIAUÍ;5823;5852;5569;5447;5342;5412;5378;5712;6451;6668;6313;5907;5817
36704;-43.3293;-9.2798;Caracol;Sede Municipal;PIAUÍ;5857;5964;5650;5601;5345;5289;5284;5669;6449;6571;6427;6091;5952
36713;-42.4351;-9.3398;Dirceu Arcoverde;Sede Municipal;PIAUÍ;5902;6067;5801;5650;5439;5255;5205;5576;6338;6573;6511;6308;6103
37084;-43.1303;-9.2254;Jurema;Sede Municipal;PIAUÍ;5876;6029;5696;5576;5368;5274;5265;5665;6383;6680;6483;6125;5973
37085;-43.0498;-9.1861;Anísio de Abreu;Sede Municipal;PIAUÍ;5902;6039;5734;5643;5437;5258;5263;5649;6389;6671;6476;6202;6062
37086;-42.9646;-9.2402;Várzea Branca;Sede Municipal;PIAUÍ;5909;6020;5728;5644;5477;5264;5258;5643;6377;6657;6497;6245;6098
37087;-42.8836;-9.1602;Bonfim do Piauí;Sede Municipal;PIAUÍ;5895;5965;5730;5644;5451;5269;5235;5630;6384;6602;6497;6236;6094
37090;-42.5474;-9.1688;São Lourenço do Piauí;Sede Municipal;PIAUÍ;5901;6001;5772;5699;5429;5232;5207;5561;6357;6635;6523;6292;6107
37434;-45.9182;-9.1175;Santa Filomena;Sede Municipal;PIAUÍ;5508;5344;5246;5111;5172;5286;5306;5459;6174;6401;5812;5376;5408
37450;-44.3593;-9.0717;Bom Jesus;Sede Municipal;PIAUÍ;5715;5691;5500;5481;5431;5365;5265;5566;6185;6509;6141;5762;5690
37463;-43.0016;-9.0648;São Braz do Piauí;Sede Municipal;PIAUÍ;5886;5953;5687;5575;5432;5290;5299;5677;6402;6728;6492;6132;5972
37828;-44.4029;-9.0143;Currais;Sede Municipal;PIAUÍ;5733;5632;5502;5378;5397;5378;5314;5660;6342;6642;6148;5734;5674
37846;-42.699;-9.0128;São Raimundo Nonato;Sede Municipal;PIAUÍ;5894;5964;5717;5649;5404;5254;5232;5594;6365;6683;6538;6240;6091
37853;-41.9737;-9.0054;Dom Inocêncio;Sede Municipal;PIAUÍ;5946;6145;5945;5792;5388;5246;5210;5604;6352;6538;6617;6343;6170
38211;-44.1299;-8.9492;Santa Luz;Sede Municipal;PIAUÍ;5683;5586;5436;5332;5393;5354;5271;5583;6248;6566;6097;5700;5625
38591;-44.2233;-8.8232;Cristino Castro;Sede Municipal;PIAUÍ;5727;5622;5414;5367;5396;5386;5283;5663;6370;6668;6144;5757;5654
38609;-42.478;-8.8255;Coronel José Dias;Sede Municipal;PIAUÍ;5865;5878;5696;5568;5342;5230;5209;5652;6424;6661;6547;6200;5971
38975;-44.2471;-8.732;Palmeira do Piauí;Sede Municipal;PIAUÍ;5735;5628;5387;5370;5467;5388;5371;5655;6387;6673;6158;5722;5620
39387;-41.4109;-8.5711;Queimada Nova;Sede Municipal;PIAUÍ;5876;6067;5834;5730;5332;5127;5071;5409;6214;6475;6596;6472;6193
39763;-42.4152;-8.5124;João Costa;Sede Municipal;PIAUÍ;5867;5798;5739;5561;5386;5290;5272;5593;6428;6630;6540;6201;5971
39769;-41.8167;-8.4963;Capitão Gervásio Oliveira;Sede Municipal;PIAUÍ;5855;5902;5735;5640;5318;5165;5114;5537;6347;6577;6559;6288;6079
39772;-41.5376;-8.4769;Lagoa do Barro do Piauí;Sede Municipal;PIAUÍ;5927;6036;5880;5767;5412;5240;5158;5530;6317;6508;6641;6459;6181
40136;-43.8652;-8.4442;Alvorada do Gurguéia;Sede Municipal;PIAUÍ;5667;5537;5313;5302;5367;5328;5285;5570;6184;6552;6192;5805;5573
40145;-42.9123;-8.3996;Tamboril do Piauí;Sede Municipal;PIAUÍ;5772;5597;5587;5436;5337;5250;5200;5587;6445;6605;6408;6002;5815
40152;-42.2562;-8.3551;São João do Piauí;Sede Municipal;PIAUÍ;5850;5727;5679;5647;5442;5258;5248;5563;6344;6564;6500;6242;5992
40156;-41.8369;-8.3773;Campo Alegre do Fidalgo;Sede Municipal;PIAUÍ;5873;5812;5743;5651;5342;5269;5206;5578;6349;6572;6614;6299;6041
40912;-43.7944;-8.1841;Colônia do Gurguéia;Sede Municipal;PIAUÍ;5644;5410;5354;5263;5257;5310;5308;5568;6178;6493;6206;5798;5586
40921;-42.8356;-8.2078;Brejo do Piauí;Sede Municipal;PIAUÍ;5800;5635;5618;5521;5366;5305;5252;5541;6359;6513;6457;6117;5921
40933;-41.6871;-8.2376;São Francisco de Assis do Piauí;Sede Municipal;PIAUÍ;5883;5766;5679;5665;5362;5232;5220;5564;6329;6666;6653;6390;6063
40939;-41.0821;-8.2176;Acauã;Sede Municipal;PIAUÍ;5869;6014;5767;5768;5390;5082;4995;5350;6164;6601;6628;6469;6199
41302;-43.6587;-8.1007;Eliseu Martins;Sede Municipal;PIAUÍ;5653;5436;5373;5249;5289;5271;5260;5634;6140;6514;6286;5785;5597
41309;-42.9521;-8.1115;Canto do Buriti;Sede Municipal;PIAUÍ;5772;5549;5566;5478;5393;5304;5287;5540;6312;6516;6424;6040;5853
41316;-42.2851;-8.0685;Pedro Laurentino;Sede Municipal;PIAUÍ;5795;5638;5598;5563;5331;5249;5177;5529;6334;6565;6482;6208;5859
41318;-42.0475;-8.0975;Nova Santa Rita;Sede Municipal;PIAUÍ;5816;5662;5574;5563;5354;5264;5253;5544;6307;6593;6503;6241;5932
41327;-41.1434;-8.1348;Paulistana;Sede Municipal;PIAUÍ;5856;5897;5670;5741;5395;5142;5034;5417;6225;6561;6622;6442;6120
41330;-40.7992;-8.1442;Betânia do Piauí;Sede Municipal;PIAUÍ;5857;5951;5704;5807;5331;5043;4926;5311;6178;6650;6663;6517;6197
41690;-43.8723;-8.0043;Manoel Emídio;Sede Municipal;PIAUÍ;5673;5397;5311;5225;5335;5337;5369;5639;6260;6557;6255;5832;5559
41696;-43.2251;-7.965;Pavussu;Sede Municipal;PIAUÍ;5721;5482;5451;5283;5240;5376;5288;5650;6294;6601;6371;5900;5717
41710;-41.8679;-7.9885;Bela Vista do Piauí;Sede Municipal;PIAUÍ;5843;5747;5636;5620;5316;5262;5232;5550;6271;6591;6564;6316;6006
42066;-45.2098;-7.8599;Baixa Grande do Ribeiro;Sede Municipal;PIAUÍ;5439;5020;5080;4921;5183;5302;5333;5535;6034;6478;5915;5316;5154
42090;-42.8219;-7.8557;Pajeú do Piauí;Sede Municipal;PIAUÍ;5765;5488;5395;5415;5320;5271;5353;5610;6357;6687;6472;6041;5766
42093;-42.5027;-7.8646;Socorro do Piauí;Sede Municipal;PIAUÍ;5790;5606;5518;5486;5309;5283;5285;5608;6335;6628;6503;6094;5819
42099;-41.9086;-7.8595;Simplício Mendes;Sede Municipal;PIAUÍ;5851;5775;5578;5599;5356;5256;5258;5570;6325;6658;6525;6315;5993
42103;-41.5945;-7.8768;Conceição do Canindé;Sede Municipal;PIAUÍ;5850;5778;5626;5648;5399;5227;5239;5520;6251;6653;6534;6330;6000
42106;-41.2081;-7.9316;Jacobina do Piauí;Sede Municipal;PIAUÍ;5866;5874;5664;5675;5346;5143;5143;5491;6310;6656;6586;6407;6095
42477;-43.1368;-7.7746;Rio Grande do Piauí;Sede Municipal;PIAUÍ;5690;5365;5429;5339;5250;5269;5248;5608;6187;6567;6380;5928;5711
42479;-42.9247;-7.7938;Flores do Piauí;Sede Municipal;PIAUÍ;5727;5431;5358;5298;5306;5284;5322;5598;6276;6713;6409;5965;5763
42486;-42.2548;-7.7767;Paes Landim;Sede Municipal;PIAUÍ;5806;5633;5537;5595;5351;5306;5260;5573;6292;6579;6487;6183;5881
42499;-40.9009;-7.8316;Curral Novo do Piauí;Sede Municipal;PIAUÍ;5871;5799;5606;5740;5360;5156;5114;5524;6280;6661;6607;6477;6123
42862;-43.7174;-7.6925;Canavieira;Sede Municipal;PIAUÍ;5648;5338;5268;5232;5200;5330;5359;5660;6177;6520;6284;5851;5553
42872;-42.7131;-7.6907;Ribeira do Piauí;Sede Municipal;PIAUÍ;5763;5497;5428;5415;5267;5329;5325;5580;6326;6685;6470;6036;5794
42881;-41.8778;-7.6597;Campinas do Piauí;Sede Municipal;PIAUÍ;5836;5765;5609;5655;5355;5243;5249;5506;6182;6553;6541;6366;6011
42883;-41.6777;-7.7374;Isaías Coelho;Sede Municipal;PIAUÍ;5848;5718;5601;5588;5329;5247;5215;5545;6283;6699;6571;6362;6014
42887;-41.2445;-7.6785;Patos do Piauí;Sede Municipal;PIAUÍ;5848;5785;5650;5705;5343;5149;5140;5508;6208;6629;6516;6434;6114
42890;-40.9851;-7.7348;Caridade do Piauí;Sede Municipal;PIAUÍ;5851;5701;5554;5666;5331;5157;5123;5544;6315;6687;6593;6435;6111
43239;-45.2451;-7.5569;Ribeiro Gonçalves;Sede Municipal;PIAUÍ;5467;4969;5188;4995;5190;5284;5372;5528;6075;6535;5927;5327;5218
43251;-44.0636;-7.5682;Sebastião Leal;Sede Municipal;PIAUÍ;5603;5240;5204;5111;5230;5341;5400;5562;6136;6566;6257;5703;5489
43252;-43.9501;-7.6338;Bertolínia;Sede Municipal;PIAUÍ;5610;5250;5213;5121;5175;5303;5371;5602;6225;6560;6253;5750;5501
43261;-43.0252;-7.6003;Itaueira;Sede Municipal;PIAUÍ;5705;5410;5357;5331;5283;5280;5282;5613;6163;6575;6378;5993;5791
43268;-42.3679;-7.5976;São Miguel do Fidalgo;Sede Municipal;PIAUÍ;5794;5655;5516;5509;5435;5297;5260;5535;6264;6580;6500;6130;5852
43277;-41.4677;-7.5979;Vera Mendes;Sede Municipal;PIAUÍ;5849;5712;5533;5560;5318;5221;5259;5592;6293;6728;6565;6403;6006
43283;-40.8182;-7.595;Simões;Sede Municipal;PIAUÍ;5851;5735;5519;5601;5351;5227;5192;5585;6269;6705;6607;6378;6047
