ID;LON;LAT;NAME;CLASS;STATE;ANNUAL;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC
3538;-51.9893;-26.4843;Palmas;Sede Municipal;PARANÁ;4571;5928;5484;5004;4111;3168;2761;3032;3975;4145;5024;6038;6183
3585;-52.5502;-26.3515;Mariópolis;Sede Municipal;PARANÁ;4664;6178;5638;5110;4177;3251;2788;3078;4023;4181;5136;6099;6306
3587;-52.3512;-26.4048;Clevelândia;Sede Municipal;PARANÁ;4643;6114;5598;5087;4160;3254;2784;3070;4027;4176;5092;6097;6265
3597;-51.3177;-26.4254;General Carneiro;Sede Municipal;PARANÁ;4184;5410;5090;4544;3654;2930;2551;2804;3771;3844;4488;5459;5656
3626;-53.6328;-26.2507;Barracão;Sede Municipal;PARANÁ;4692;6337;5812;5172;4136;3214;2763;3052;3964;4225;5215;6044;6363
3629;-53.3097;-26.2528;Flor da Serra do Sul;Sede Municipal;PARANÁ;4677;6317;5707;5126;4173;3230;2750;3061;3982;4240;5177;6060;6299
3635;-52.7847;-26.2688;Vitorino;Sede Municipal;PARANÁ;4683;6230;5650;5123;4185;3253;2821;3089;4046;4219;5154;6105;6327
3680;-53.5959;-26.1963;Bom Jesus do Sul;Sede Municipal;PARANÁ;4736;6449;5768;5220;4206;3244;2784;3087;4036;4246;5244;6122;6426
3682;-53.3636;-26.1781;Salgado Filho;Sede Municipal;PARANÁ;4711;6334;5716;5163;4198;3253;2780;3100;4029;4269;5222;6124;6338
3686;-52.9708;-26.1593;Renascença;Sede Municipal;PARANÁ;4695;6193;5681;5172;4207;3270;2824;3089;4049;4242;5193;6095;6326
3689;-52.6711;-26.2297;Pato Branco;Sede Municipal;PARANÁ;4690;6272;5647;5173;4188;3251;2824;3082;4085;4206;5158;6063;6335
3695;-52.0361;-26.2282;Coronel Domingos Soares;Sede Municipal;PARANÁ;4604;6006;5474;5016;4125;3211;2810;3068;4054;4219;5071;6029;6165
3700;-51.5522;-26.1612;Bituruna;Sede Municipal;PARANÁ;4288;5540;5251;4688;3747;2948;2563;2829;3831;3930;4670;5622;5839
3703;-51.2314;-26.1679;Porto Vitória;Sede Municipal;PARANÁ;4231;5549;5222;4658;3675;2904;2459;2685;3751;3888;4574;5589;5814
3705;-51.0878;-26.2278;União da Vitória;Sede Municipal;PARANÁ;4144;5465;5087;4575;3578;2877;2429;2647;3683;3821;4475;5448;5642
3706;-50.9314;-26.211;Paula Freitas;Sede Municipal;PARANÁ;4090;5320;5058;4559;3529;2850;2401;2619;3643;3775;4406;5361;5564
3732;-53.7256;-26.0742;Santo Antônio do Sudoeste;Sede Municipal;PARANÁ;4736;6403;5840;5192;4215;3250;2799;3087;4010;4229;5233;6096;6477
3736;-53.3157;-26.1484;Manfrinópolis;Sede Municipal;PARANÁ;4722;6260;5772;5217;4210;3234;2813;3098;4064;4270;5209;6129;6385
3739;-53.0539;-26.0821;Francisco Beltrão;Sede Municipal;PARANÁ;4703;6210;5657;5181;4198;3267;2813;3109;4068;4265;5207;6090;6366
3739;-53.0272;-26.1477;Marmeleiro;Sede Municipal;PARANÁ;4703;6210;5657;5181;4198;3267;2813;3109;4068;4265;5207;6090;6366
3741;-52.8357;-26.0736;Bom Sucesso do Sul;Sede Municipal;PARANÁ;4723;6218;5696;5220;4241;3283;2812;3099;4083;4245;5210;6162;6410
3746;-52.3853;-26.1395;Honório Serpa;Sede Municipal;PARANÁ;4667;6192;5615;5116;4146;3257;2834;3118;4068;4232;5131;6065;6229
3772;-49.7987;-26.0955;Rio Negro;Sede Municipal;PARANÁ;4139;5444;5117;4534;3645;2900;2509;2768;3721;3760;4389;5274;5603
3775;-49.434;-26.0969;Piên;Sede Municipal;PARANÁ;4122;5361;5078;4498;3687;2953;2607;2813;3708;3744;4298;5193;5527
3786;-53.7416;-26.0224;Pranchita;Sede Municipal;PARANÁ;4751;6422;5872;5218;4197;3265;2805;3097;4029;4237;5236;6123;6513
3789;-53.4824;-26.0329;Pinhal de São Bento;Sede Municipal;PARANÁ;4757;6382;5833;5243;4220;3272;2844;3115;4063;4270;5244;6137;6466
3795;-52.8143;-25.9625;Itapejara d'Oeste;Sede Municipal;PARANÁ;4747;6255;5709;5256;4269;3298;2817;3104;4100;4278;5234;6212;6433
3798;-52.5645;-25.9772;Coronel Vivida;Sede Municipal;PARANÁ;4709;6255;5640;5212;4223;3281;2854;3101;4076;4240;5199;6122;6304
3810;-51.3434;-26.0171;Cruz Machado;Sede Municipal;PARANÁ;4300;5580;5193;4743;3766;2984;2559;2793;3827;3981;4693;5658;5828
