ID;LON;LAT;NAME;CLASS;STATE;ANNUAL;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC
6075;-44.717;-23.2229;Paraty;Sede Municipal;RIO DE JANEIRO;4122;5021;5319;4329;3926;3331;3128;3129;3892;3911;4189;4321;4975
6319;-44.3199;-23.0016;Angra dos Reis;Sede Municipal;RIO DE JANEIRO;4334;5356;5642;4638;4245;3482;3228;3255;4017;4031;4402;4552;5156
6322;-44.0413;-22.9599;Mangaratiba;Sede Municipal;RIO DE JANEIRO;4399;5466;5832;4696;4256;3473;3215;3239;4060;4100;4540;4615;5302
6338;-42.0271;-22.9779;Arraial do Cabo;Sede Municipal;RIO DE JANEIRO;5023;6428;6727;5378;4644;3730;3409;3489;4378;4696;5367;5638;6397
6459;-43.7802;-22.8641;Itaguaí;Sede Municipal;RIO DE JANEIRO;4688;5904;6193;5010;4479;3611;3314;3364;4217;4339;4930;5077;5823
6464;-43.201;-22.9139;Rio de Janeiro;Capital Estadual;RIO DE JANEIRO;4732;6041;6221;5062;4358;3590;3350;3341;4203;4435;5106;5143;5928
6465;-43.1037;-22.8837;Niterói;Sede Municipal;RIO DE JANEIRO;4785;6184;6345;5158;4456;3598;3341;3340;4220;4413;5101;5213;6053
6468;-42.825;-22.9359;Maricá;Sede Municipal;RIO DE JANEIRO;4785;6189;6373;5123;4418;3594;3344;3371;4213;4447;5071;5220;6053
6471;-42.5103;-22.9297;Saquarema;Sede Municipal;RIO DE JANEIRO;4764;6183;6443;5110;4436;3591;3367;3377;4173;4394;5049;5121;5932
6473;-42.333;-22.8701;Araruama;Sede Municipal;RIO DE JANEIRO;4860;6268;6473;5247;4518;3652;3394;3425;4257;4518;5155;5296;6115
6476;-42.029;-22.8899;Cabo Frio;Sede Municipal;RIO DE JANEIRO;4921;6359;6498;5252;4526;3695;3362;3428;4301;4614;5291;5475;6248
6597;-43.7159;-22.7531;Seropédica;Sede Municipal;RIO DE JANEIRO;4674;5906;6216;4991;4434;3589;3314;3375;4224;4350;4909;4992;5783
6600;-43.3996;-22.7645;Belford Roxo;Sede Municipal;RIO DE JANEIRO;4615;5848;6049;4899;4321;3585;3336;3325;4174;4353;4909;4925;5658
6600;-43.4237;-22.8061;Nilópolis;Sede Municipal;RIO DE JANEIRO;4615;5848;6049;4899;4321;3585;3336;3325;4174;4353;4909;4925;5658
6600;-43.4607;-22.7561;Nova Iguaçu;Sede Municipal;RIO DE JANEIRO;4615;5848;6049;4899;4321;3585;3336;3325;4174;4353;4909;4925;5658
6600;-43.4604;-22.8033;Mesquita;Sede Municipal;RIO DE JANEIRO;4615;5848;6049;4899;4321;3585;3336;3325;4174;4353;4909;4925;5658
6601;-43.3053;-22.7863;Duque de Caxias;Sede Municipal;RIO DE JANEIRO;4693;5954;6136;5017;4363;3618;3384;3372;4226;4431;5020;5057;5743
6601;-43.3733;-22.8063;São João de Meriti;Sede Municipal;RIO DE JANEIRO;4693;5954;6136;5017;4363;3618;3384;3372;4226;4431;5020;5057;5743
6604;-43.0637;-22.8273;São Gonçalo;Sede Municipal;RIO DE JANEIRO;4750;6119;6320;5106;4448;3601;3370;3381;4216;4397;5035;5092;5916
6606;-42.8643;-22.757;Itaboraí;Sede Municipal;RIO DE JANEIRO;4785;6178;6338;5094;4475;3624;3398;3419;4242;4465;5079;5154;5956
6612;-42.2303;-22.8499;Iguaba Grande;Sede Municipal;RIO DE JANEIRO;4860;6270;6490;5200;4511;3665;3442;3459;4291;4551;5174;5212;6062
6613;-42.103;-22.8433;São Pedro da Aldeia;Sede Municipal;RIO DE JANEIRO;4887;6308;6550;5219;4526;3687;3435;3468;4313;4588;5203;5238;6115
6616;-41.8849;-22.7533;Armação dos Búzios;Sede Municipal;RIO DE JANEIRO;5064;6495;6775;5379;4740;3791;3450;3535;4463;4743;5435;5570;6388
6733;-44.1423;-22.7205;Rio Claro;Sede Municipal;RIO DE JANEIRO;4608;5589;6000;4845;4275;3552;3335;3403;4259;4463;4913;4955;5704
6739;-43.5522;-22.7107;Queimados;Sede Municipal;RIO DE JANEIRO;4659;5849;6116;4999;4423;3618;3377;3385;4231;4387;4904;4949;5669
6744;-43.0319;-22.6636;Magé;Sede Municipal;RIO DE JANEIRO;4655;5933;6154;4990;4424;3586;3385;3390;4202;4353;4888;4896;5663
6747;-42.7206;-22.7428;Tanguá;Sede Municipal;RIO DE JANEIRO;4741;6057;6311;5044;4449;3635;3448;3444;4251;4457;4985;5025;5787
6748;-42.6279;-22.7186;Rio Bonito;Sede Municipal;RIO DE JANEIRO;4721;6013;6286;4996;4417;3635;3441;3443;4253;4458;4964;4988;5750
6751;-42.3965;-22.6579;Silva Jardim;Sede Municipal;RIO DE JANEIRO;4760;6116;6372;5078;4458;3657;3428;3436;4284;4479;5032;4998;5781
6875;-43.9084;-22.622;Piraí;Sede Municipal;RIO DE JANEIRO;4650;5734;6076;4934;4338;3562;3339;3401;4266;4467;4913;5023;5743
6877;-43.7112;-22.6083;Paracambi;Sede Municipal;RIO DE JANEIRO;4641;5774;6114;4969;4370;3591;3355;3390;4245;4421;4890;4928;5643
6878;-43.6606;-22.644;Japeri;Sede Municipal;RIO DE JANEIRO;4614;5722;6101;4931;4383;3590;3380;3393;4215;4382;4824;4881;5570
7009;-44.5679;-22.4902;Itatiaia;Sede Municipal;RIO DE JANEIRO;4436;5194;5384;4594;4244;3542;3334;3424;4336;4434;4705;4698;5343
7010;-44.4513;-22.471;Resende;Sede Municipal;RIO DE JANEIRO;4549;5386;5660;4784;4320;3592;3371;3430;4367;4489;4816;4868;5505
7013;-44.1756;-22.5486;Barra Mansa;Sede Municipal;RIO DE JANEIRO;4652;5631;5952;4903;4345;3596;3388;3429;4350;4563;4964;5005;5700
7013;-44.0999;-22.5207;Volta Redonda;Sede Municipal;RIO DE JANEIRO;4652;5631;5952;4903;4345;3596;3388;3429;4350;4563;4964;5005;5700
7014;-44.0025;-22.5177;Pinheiral;Sede Municipal;RIO DE JANEIRO;4671;5715;5996;4936;4370;3594;3396;3436;4351;4533;4952;5038;5727
7016;-43.8273;-22.472;Barra do Piraí;Sede Municipal;RIO DE JANEIRO;4653;5782;6049;4941;4350;3589;3347;3417;4247;4491;4897;5007;5713
7017;-43.7316;-22.525;Mendes;Sede Municipal;RIO DE JANEIRO;4698;5842;6103;4977;4390;3610;3405;3468;4297;4537;4949;5076;5727
7018;-43.6831;-22.5503;Engenheiro Paulo de Frontin;Sede Municipal;RIO DE JANEIRO;4681;5831;6119;4962;4375;3590;3397;3467;4260;4504;4932;5021;5708
7020;-43.4806;-22.4577;Miguel Pereira;Sede Municipal;RIO DE JANEIRO;4691;5772;6136;4955;4341;3623;3407;3506;4292;4546;4988;5007;5723
7023;-43.193;-22.5204;Petrópolis;Sede Municipal;RIO DE JANEIRO;4508;5514;5796;4690;4161;3480;3351;3449;4252;4482;4821;4733;5361
7025;-42.9899;-22.5352;Guapimirim;Sede Municipal;RIO DE JANEIRO;4319;5247;5696;4526;4038;3448;3279;3318;4081;4302;4509;4355;5023
7028;-42.6527;-22.4663;Cachoeiras de Macacu;Sede Municipal;RIO DE JANEIRO;4569;5672;6004;4828;4331;3576;3465;3449;4265;4442;4775;4645;5382
