ID;LON;LAT;NAME;CLASS;STATE;ANNUAL;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC
24087;-61.0475;-13.4827;Pimenteiras do Oeste;Sede Municipal;RONDÔNIA;4832;4846;4696;4697;4737;4259;4369;4594;5105;5058;5265;5251;5108
24092;-60.5446;-13.4951;Cabixi;Sede Municipal;RONDÔNIA;4795;4848;4636;4693;4769;4243;4329;4520;4991;4941;5249;5212;5110
24789;-60.8173;-13.1874;Cerejeiras;Sede Municipal;RONDÔNIA;4767;4752;4663;4705;4632;4233;4354;4494;4965;4956;5239;5174;5044
25030;-60.5459;-13.1178;Colorado do Oeste;Sede Municipal;RONDÔNIA;4684;4642;4466;4529;4556;4169;4356;4539;5017;4913;5089;5029;4909
25269;-60.9421;-12.9982;Corumbiara;Sede Municipal;RONDÔNIA;4728;4672;4590;4566;4583;4205;4374;4512;5029;4940;5193;5122;4948
25773;-60.1493;-12.7506;Vilhena;Sede Municipal;RONDÔNIA;4634;4582;4449;4425;4519;4241;4364;4539;5048;4797;4948;4872;4824
26274;-60.9026;-12.5533;Chupinguaia;Sede Municipal;RONDÔNIA;4726;4630;4568;4572;4591;4247;4379;4499;4958;4959;5229;5126;4948
26772;-64.2284;-12.4371;Costa Marques;Sede Municipal;RONDÔNIA;4640;4665;4537;4485;4556;3920;4164;4372;4886;4934;5128;5096;4936
27338;-61.6037;-12.1758;Parecis;Sede Municipal;RONDÔNIA;4646;4426;4401;4492;4571;4155;4335;4482;4984;4949;5134;5008;4815
27591;-63.5684;-12.0524;São Francisco do Guaporé;Sede Municipal;RONDÔNIA;4582;4540;4414;4406;4471;3892;4187;4398;4854;4908;5129;4980;4805
27608;-61.8379;-12.1405;Alto Alegre dos Parecis;Sede Municipal;RONDÔNIA;4624;4455;4395;4426;4487;4087;4311;4454;4996;5019;5132;4964;4762
28157;-61.9958;-11.9287;Alta Floresta D'Oeste;Sede Municipal;RONDÔNIA;4635;4414;4386;4494;4536;4106;4323;4457;4981;4986;5163;5008;4760
28159;-61.7781;-11.9078;Santa Luzia D'Oeste;Sede Municipal;RONDÔNIA;4666;4504;4415;4561;4562;4172;4377;4496;4960;4990;5146;4998;4811
28161;-61.5031;-11.9027;São Felipe D'Oeste;Sede Municipal;RONDÔNIA;4678;4522;4453;4580;4596;4179;4371;4496;4948;4969;5180;5007;4836
28423;-63.0337;-11.7699;Seringueiras;Sede Municipal;RONDÔNIA;4576;4477;4418;4410;4432;3937;4242;4441;4911;4951;5042;4958;4688
28440;-61.3158;-11.8299;Primavera de Rondônia;Sede Municipal;RONDÔNIA;4645;4450;4426;4531;4519;4216;4359;4543;4938;4910;5083;4972;4794
28704;-62.7197;-11.6957;São Miguel do Guaporé;Sede Municipal;RONDÔNIA;4611;4455;4454;4445;4474;3962;4277;4474;4924;5025;5115;4983;4746
28708;-62.3131;-11.7251;Nova Brasilândia D'Oeste;Sede Municipal;RONDÔNIA;4597;4452;4404;4432;4461;3980;4349;4444;4945;4937;5116;4912;4732
28711;-61.9993;-11.7091;Novo Horizonte do Oeste;Sede Municipal;RONDÔNIA;4651;4502;4408;4552;4558;4109;4386;4455;4970;4972;5140;5021;4734
28714;-61.7719;-11.7275;Rolim de Moura;Sede Municipal;RONDÔNIA;4634;4452;4414;4572;4531;4116;4359;4500;4878;4951;5129;4940;4768
