ID;LON;LAT;NAME;CLASS;STATE;ANNUAL;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC
2;-53.4599;-33.6871;Chuí;Sede Municipal;RIO GRANDE DO SUL;4446;6610;5735;4986;3588;2550;2167;2280;2926;3810;5199;6470;7036
12;-53.3722;-33.5255;Santa Vitória do Palmar;Sede Municipal;RIO GRANDE DO SUL;4439;6594;5726;4971;3610;2582;2175;2280;2933;3803;5181;6440;6973
92;-53.3775;-32.5609;Jaguarão;Sede Municipal;RIO GRANDE DO SUL;4431;6553;5804;4907;3662;2633;2198;2341;2980;3719;5043;6399;6933
152;-53.0866;-32.2331;Arroio Grande;Sede Municipal;RIO GRANDE DO SUL;4340;6376;5607;4788;3635;2629;2219;2383;2998;3612;4900;6201;6727
189;-53.3948;-32.0245;Herval;Sede Municipal;RIO GRANDE DO SUL;4377;6301;5648;4826;3683;2631;2243;2449;3032;3641;4978;6289;6807
201;-52.1075;-32.0354;Rio Grande;Sede Municipal;RIO GRANDE DO SUL;4367;6376;5735;4847;3634;2647;2213;2377;3000;3624;4929;6229;6790
202;-52.0338;-32.0125;São José do Norte;Sede Municipal;RIO GRANDE DO SUL;4366;6391;5749;4852;3650;2645;2219;2370;2992;3626;4913;6215;6774
205;-54.1619;-31.867;Aceguá;Sede Municipal;RIO GRANDE DO SUL;4518;6568;5883;5027;3750;2671;2261;2486;3112;3826;5176;6454;7008
218;-52.8189;-31.8647;Pedro Osório;Sede Municipal;RIO GRANDE DO SUL;4345;6329;5650;4792;3653;2638;2245;2410;3015;3583;4887;6201;6740
245;-52.8009;-31.8424;Cerrito;Sede Municipal;RIO GRANDE DO SUL;4320;6268;5626;4751;3631;2622;2220;2415;3008;3556;4864;6184;6695
249;-52.4893;-31.7569;Capão do Leão;Sede Municipal;RIO GRANDE DO SUL;4288;6221;5573;4746;3603;2640;2235;2405;2991;3533;4770;6110;6626
250;-52.3375;-31.7654;Pelotas;Sede Municipal;RIO GRANDE DO SUL;4311;6277;5633;4790;3635;2649;2227;2373;2984;3538;4799;6151;6673
268;-53.5823;-31.7374;Pedras Altas;Sede Municipal;RIO GRANDE DO SUL;4463;6448;5798;4911;3715;2661;2277;2508;3117;3747;5075;6383;6914
299;-53.6729;-31.5579;Candiota;Sede Municipal;RIO GRANDE DO SUL;4468;6424;5807;4934;3720;2669;2276;2501;3146;3745;5068;6399;6933
302;-53.3803;-31.5799;Pinheiro Machado;Sede Municipal;RIO GRANDE DO SUL;4414;6292;5760;4860;3695;2653;2273;2477;3114;3682;4985;6306;6869
309;-52.6265;-31.5892;Morro Redondo;Sede Municipal;RIO GRANDE DO SUL;4287;6209;5544;4733;3618;2643;2221;2430;3037;3524;4775;6085;6622
371;-53.8672;-31.4072;Hulha Negra;Sede Municipal;RIO GRANDE DO SUL;4506;6462;5887;5023;3772;2704;2293;2537;3178;3785;5098;6413;6922
378;-53.1003;-31.4483;Piratini;Sede Municipal;RIO GRANDE DO SUL;4396;6273;5712;4826;3692;2688;2260;2496;3133;3681;4936;6257;6795
383;-52.6787;-31.3965;Canguçu;Sede Municipal;RIO GRANDE DO SUL;4317;6174;5611;4727;3658;2676;2257;2475;3089;3598;4819;6075;6651
385;-52.4222;-31.4426;Arroio do Padre;Sede Municipal;RIO GRANDE DO SUL;4268;6131;5546;4690;3643;2660;2244;2468;3053;3523;4743;6009;6504
388;-52.1779;-31.422;Turuçu;Sede Municipal;RIO GRANDE DO SUL;4291;6218;5577;4714;3650;2684;2265;2442;3056;3526;4715;6069;6576
390;-51.9736;-31.361;São Lourenço do Sul;Sede Municipal;RIO GRANDE DO SUL;4398;6471;5801;4877;3696;2696;2263;2416;3038;3625;4855;6257;6778
411;-54.1069;-31.331;Bagé;Sede Municipal;RIO GRANDE DO SUL;4535;6482;5941;5013;3774;2733;2308;2565;3211;3835;5162;6442;6950
442;-51.0939;-31.2869;Tavares;Sede Municipal;RIO GRANDE DO SUL;4451;6617;5858;4896;3795;2734;2279;2461;3101;3635;4877;6317;6841
537;-50.9171;-31.1059;Mostardas;Sede Municipal;RIO GRANDE DO SUL;4415;6485;5849;4856;3780;2732;2257;2449;3102;3599;4834;6242;6794
553;-54.6702;-30.9793;Dom Pedrito;Sede Municipal;RIO GRANDE DO SUL;4608;6698;6003;5108;3882;2791;2352;2583;3291;3871;5253;6458;7014
579;-52.0462;-31.0041;Cristal;Sede Municipal;RIO GRANDE DO SUL;4325;6285;5664;4762;3705;2707;2265;2447;3085;3563;4721;6080;6615
599;-55.532;-30.8882;Sant'Ana do Livramento;Sede Municipal;RIO GRANDE DO SUL;4623;6677;5973;5100;3952;2789;2323;2633;3339;3939;5281;6435;7032
623;-53.1149;-30.872;Santana da Boa Vista;Sede Municipal;RIO GRANDE DO SUL;4450;6353;5856;4923;3752;2709;2277;2502;3170;3711;4987;6275;6877
632;-52.2514;-30.8761;Amaral Ferrador;Sede Municipal;RIO GRANDE DO SUL;4335;6291;5669;4753;3696;2710;2271;2456;3094;3573;4734;6107;6665
639;-51.505;-30.9097;Arambaré;Sede Municipal;RIO GRANDE DO SUL;4393;6478;5814;4881;3737;2771;2263;2474;3095;3600;4747;6175;6686
672;-53.8963;-30.806;Lavras do Sul;Sede Municipal;RIO GRANDE DO SUL;4520;6452;5885;5021;3832;2763;2312;2599;3251;3836;5069;6325;6901
691;-51.9741;-30.7509;Chuvisca;Sede Municipal;RIO GRANDE DO SUL;4299;6253;5603;4701;3708;2703;2266;2482;3117;3539;4657;6039;6521
692;-51.8048;-30.8494;Camaquã;Sede Municipal;RIO GRANDE DO SUL;4277;6241;5533;4692;3687;2715;2254;2468;3095;3519;4640;6012;6468
746;-52.1031;-30.7008;Dom Feliciano;Sede Municipal;RIO GRANDE DO SUL;4322;6213;5633;4747;3729;2719;2277;2508;3129;3559;4701;6066;6584
753;-51.3996;-30.6688;Tapes;Sede Municipal;RIO GRANDE DO SUL;4388;6495;5711;4848;3768;2780;2291;2500;3092;3623;4754;6198;6598
809;-51.7487;-30.5953;Cerro Grande do Sul;Sede Municipal;RIO GRANDE DO SUL;4257;6144;5463;4664;3707;2715;2291;2478;3110;3508;4599;6003;6400
811;-51.5866;-30.6112;Sentinela do Sul;Sede Municipal;RIO GRANDE DO SUL;4306;6260;5563;4728;3736;2759;2286;2502;3109;3557;4653;6091;6434
854;-53.4832;-30.5148;Caçapava do Sul;Sede Municipal;RIO GRANDE DO SUL;4521;6454;5900;5006;3861;2794;2326;2569;3289;3810;5042;6324;6883
863;-52.5208;-30.5435;Encruzilhada do Sul;Sede Municipal;RIO GRANDE DO SUL;4457;6431;5811;4888;3817;2780;2335;2562;3232;3723;4938;6221;6748
872;-51.6022;-30.4567;Sertão Santana;Sede Municipal;RIO GRANDE DO SUL;4282;6148;5531;4677;3728;2742;2316;2506;3136;3511;4625;6039;6423
887;-56.4487;-30.3845;Quaraí;Sede Municipal;RIO GRANDE DO SUL;4788;6843;6178;5294;4101;2943;2425;2751;3508;4223;5433;6582;7179
934;-51.7389;-30.3896;Barão do Triunfo;Sede Municipal;RIO GRANDE DO SUL;4341;6174;5620;4731;3760;2756;2356;2545;3196;3570;4727;6115;6547
936;-51.5829;-30.353;Mariana Pimentel;Sede Municipal;RIO GRANDE DO SUL;4314;6245;5591;4718;3718;2752;2318;2513;3131;3540;4684;6077;6486
972;-54.9139;-30.258;Rosário do Sul;Sede Municipal;RIO GRANDE DO SUL;4647;6726;6041;5148;3950;2872;2383;2640;3380;3956;5227;6399;7046
978;-54.3199;-30.336;São Gabriel;Sede Municipal;RIO GRANDE DO SUL;4622;6620;6085;5170;3965;2864;2371;2602;3340;3903;5162;6384;6998
981;-54.0822;-30.3398;Santa Margarida do Sul;Sede Municipal;RIO GRANDE DO SUL;4609;6588;6057;5111;3930;2861;2386;2619;3340;3886;5126;6396;7008
983;-53.8772;-30.3486;Vila Nova do Sul;Sede Municipal;RIO GRANDE DO SUL;4600;6547;6075;5108;3939;2843;2381;2602;3345;3865;5118;6412;6959
1008;-51.3018;-30.2944;Barra do Ribeiro;Sede Municipal;RIO GRANDE DO SUL;4424;6526;5802;4842;3803;2785;2330;2544;3168;3615;4805;6191;6676
1016;-50.5099;-30.258;Palmares do Sul;Sede Municipal;RIO GRANDE DO SUL;4469;6567;5961;4889;3874;2811;2327;2528;3178;3608;4867;6234;6785
1021;-57.5502;-30.2033;Barra do Quaraí;Sede Municipal;RIO GRANDE DO SUL;4874;7068;6317;5335;4170;2992;2434;2822;3584;4312;5567;6615;7267
1058;-53.5649;-30.161;São Sepé;Sede Municipal;RIO GRANDE DO SUL;4545;6491;6028;5068;3875;2825;2330;2541;3304;3803;5027;6346;6903
1070;-52.3734;-30.1906;Pantano Grande;Sede Municipal;RIO GRANDE DO SUL;4471;6485;5952;4946;3802;2780;2313;2527;3225;3724;4908;6231;6756
1091;-50.2151;-30.1702;Cidreira;Sede Municipal;RIO GRANDE DO SUL;4404;6441;5788;4791;3861;2798;2350;2519;3142;3567;4744;6172;6672
1091;-50.2341;-30.2424;Balneário Pinhal;Sede Municipal;RIO GRANDE DO SUL;4404;6441;5788;4791;3861;2798;2350;2519;3142;3567;4744;6172;6672
1148;-52.0479;-30.127;Minas do Leão;Sede Municipal;RIO GRANDE DO SUL;4449;6453;5861;4898;3804;2783;2320;2527;3211;3668;4873;6252;6734
1149;-51.9605;-30.1184;Butiá;Sede Municipal;RIO GRANDE DO SUL;4437;6418;5859;4865;3794;2767;2318;2529;3211;3658;4849;6254;6721
1151;-51.7279;-30.088;Arroio dos Ratos;Sede Municipal;RIO GRANDE DO SUL;4423;6413;5824;4875;3793;2755;2318;2526;3204;3623;4840;6207;6698
1155;-51.3238;-30.1091;Guaíba;Sede Municipal;RIO GRANDE DO SUL;4457;6522;5869;4882;3832;2789;2320;2538;3216;3629;4866;6266;6755
1158;-51.0199;-30.0824;Viamão;Sede Municipal;RIO GRANDE DO SUL;4375;6352;5744;4774;3780;2760;2313;2516;3175;3563;4750;6181;6593
1163;-50.5149;-30.145;Capivari do Sul;Sede Municipal;RIO GRANDE DO SUL;4438;6513;5882;4843;3872;2803;2358;2547;3201;3560;4796;6200;6681
1207;-53.5029;-30.0014;Formigueiro;Sede Municipal;RIO GRANDE DO SUL;4548;6543;6037;5068;3887;2818;2338;2539;3312;3811;4983;6321;6919
1214;-52.8939;-30.039;Cachoeira do Sul;Sede Municipal;RIO GRANDE DO SUL;4474;6496;5936;4992;3819;2786;2302;2500;3253;3716;4876;6240;6775
1219;-52.378;-29.9897;Rio Pardo;Sede Municipal;RIO GRANDE DO SUL;4435;6426;5878;4896;3788;2795;2319;2495;3219;3640;4829;6221;6718
1225;-51.7211;-29.9646;São Jerônimo;Sede Municipal;RIO GRANDE DO SUL;4422;6420;5862;4867;3787;2768;2292;2509;3216;3612;4830;6206;6697
1226;-51.6293;-29.963;Charqueadas;Sede Municipal;RIO GRANDE DO SUL;4423;6436;5867;4854;3793;2770;2295;2516;3219;3611;4825;6209;6679
1229;-51.3109;-29.9979;Eldorado do Sul;Sede Municipal;RIO GRANDE DO SUL;4450;6518;5902;4877;3813;2773;2312;2524;3212;3609;4844;6261;6754
1232;-51.0813;-29.9919;Alvorada;Sede Municipal;RIO GRANDE DO SUL;4380;6369;5761;4810;3780;2765;2303;2512;3172;3561;4729;6187;6612
1241;-50.1285;-29.9758;Imbé;Sede Municipal;RIO GRANDE DO SUL;4389;6360;5728;4757;3851;2861;2371;2540;3202;3592;4694;6129;6578
