ID;LON;LAT;NAME;CLASS;STATE;ANNUAL;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC
1748;-49.7226;-29.3104;Passo de Torres;Sede Municipal;SANTA CATARINA;4232;5850;5422;4581;3839;2964;2444;2658;3336;3525;4342;5735;6082
1817;-49.9499;-29.1969;Praia Grande;Sede Municipal;SANTA CATARINA;3939;5175;4867;4198;3671;2854;2422;2658;3347;3379;3995;5238;5463
1818;-49.8036;-29.2191;São João do Sul;Sede Municipal;SANTA CATARINA;4031;5329;5026;4319;3742;2888;2441;2687;3357;3461;4106;5381;5637
1821;-49.5845;-29.1532;Balneário Gaivota;Sede Municipal;SANTA CATARINA;4363;6112;5594;4753;3944;2985;2475;2672;3358;3585;4569;5966;6347
1891;-49.7148;-29.1365;Santa Rosa do Sul;Sede Municipal;SANTA CATARINA;4098;5520;5158;4430;3785;2929;2435;2673;3360;3465;4164;5492;5768
1892;-49.6332;-29.1085;Sombrio;Sede Municipal;SANTA CATARINA;4216;5748;5362;4581;3841;2980;2441;2686;3368;3520;4325;5710;6034
1962;-49.7628;-28.9966;Jacinto Machado;Sede Municipal;SANTA CATARINA;4092;5468;5148;4420;3772;2926;2437;2680;3384;3476;4170;5482;5736
1963;-49.6435;-28.9874;Ermo;Sede Municipal;SANTA CATARINA;4185;5639;5308;4542;3833;2971;2444;2688;3396;3504;4295;5641;5955
1965;-49.4241;-28.9811;Balneário Arroio do Silva;Sede Municipal;SANTA CATARINA;4331;6033;5549;4688;3903;3022;2456;2688;3394;3585;4489;5867;6292
2034;-49.6835;-28.9277;Turvo;Sede Municipal;SANTA CATARINA;4148;5580;5240;4480;3825;2960;2448;2694;3396;3495;4231;5574;5849
2036;-49.4922;-28.9361;Araranguá;Sede Municipal;SANTA CATARINA;4286;5901;5469;4667;3860;3020;2461;2695;3401;3564;4406;5791;6190
2104;-49.8425;-28.8292;Timbé do Sul;Sede Municipal;SANTA CATARINA;3923;5061;4836;4229;3656;2829;2420;2703;3362;3329;3994;5192;5462
2105;-49.7218;-28.8011;Morro Grande;Sede Municipal;SANTA CATARINA;3950;5200;4915;4252;3666;2873;2432;2672;3362;3367;3974;5238;5446
2106;-49.6383;-28.8249;Meleiro;Sede Municipal;SANTA CATARINA;4047;5422;5068;4341;3726;2917;2438;2687;3373;3435;4106;5412;5637
2108;-49.461;-28.8468;Maracajá;Sede Municipal;SANTA CATARINA;4219;5788;5322;4554;3825;2999;2461;2698;3416;3541;4341;5706;5977
2110;-49.2411;-28.8049;Balneário Rincão;Sede Municipal;SANTA CATARINA;4312;6016;5499;4629;3858;3001;2481;2682;3403;3600;4501;5863;6218
2179;-49.4789;-28.7458;Forquilhinha;Sede Municipal;SANTA CATARINA;4108;5482;5104;4431;3746;2955;2477;2704;3411;3486;4211;5523;5763
2180;-49.3733;-28.6728;Criciúma;Sede Municipal;SANTA CATARINA;4183;5659;5234;4498;3788;2980;2491;2704;3425;3538;4320;5647;5914
2180;-49.3091;-28.7137;Içara;Sede Municipal;SANTA CATARINA;4183;5659;5234;4498;3788;2980;2491;2704;3425;3538;4320;5647;5914
2181;-49.2174;-28.6516;Morro da Fumaça;Sede Municipal;SANTA CATARINA;4257;5857;5376;4560;3822;2996;2499;2708;3432;3569;4412;5768;6086
2250;-49.506;-28.6343;Nova Veneza;Sede Municipal;SANTA CATARINA;3945;5073;4836;4205;3599;2885;2471;2681;3386;3381;4033;5262;5525
2251;-49.4319;-28.596;Siderópolis;Sede Municipal;SANTA CATARINA;4009;5244;4921;4305;3699;2902;2465;2697;3399;3444;4098;5365;5568
