ID;LON;LAT;NAME;CLASS;STATE;ANNUAL;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC
25394;-48.4134;-13.04;Palmeirópolis;Sede Municipal;TOCANTINS;5293;5288;5398;5039;5165;5061;4931;5301;5844;5795;5516;4990;5185
25627;-49.8314;-12.9273;Araguaçu;Sede Municipal;TOCANTINS;5298;5322;5422;5074;5096;5031;4812;5278;5795;5682;5491;5224;5352
25656;-46.9485;-12.9228;Arraias;Sede Municipal;TOCANTINS;5526;5689;5590;5221;5255;5210;5037;5426;6033;6007;5774;5385;5682
25660;-46.5772;-12.9151;Novo Alegre;Sede Municipal;TOCANTINS;5569;5921;5761;5429;5366;5200;5002;5326;5854;5875;5749;5474;5878
25884;-49.093;-12.8045;Talismã;Sede Municipal;TOCANTINS;5312;5345;5464;5099;5118;5016;4896;5163;5784;5753;5594;5182;5337
25909;-46.508;-12.7875;Lavandeira;Sede Municipal;TOCANTINS;5631;5986;5892;5545;5458;5224;5008;5348;5833;5990;5823;5542;5923
25909;-46.5485;-12.8122;Combinado;Sede Municipal;TOCANTINS;5631;5986;5892;5545;5458;5224;5008;5348;5833;5990;5823;5542;5923
26142;-48.591;-12.6526;Jaú do Tocantins;Sede Municipal;TOCANTINS;5369;5455;5462;5155;5177;5132;4952;5219;5906;5857;5563;5177;5371
26145;-48.2358;-12.7495;São Salvador do Tocantins;Sede Municipal;TOCANTINS;5409;5625;5625;5288;5292;5082;4850;5144;5793;5826;5675;5244;5460
26163;-46.408;-12.7109;Aurora do Tocantins;Sede Municipal;TOCANTINS;5614;5917;5811;5491;5367;5242;5046;5337;5940;6101;5795;5441;5875
26405;-47.8738;-12.6172;Paranã;Sede Municipal;TOCANTINS;5513;5743;5704;5369;5320;5117;4977;5366;5922;5946;5688;5380;5626
26648;-49.926;-12.5399;Sandolândia;Sede Municipal;TOCANTINS;5283;5336;5376;5055;5079;5001;4879;5265;5869;5666;5414;5163;5295
26656;-49.1253;-12.4789;Alvorada;Sede Municipal;TOCANTINS;5324;5424;5437;5154;5143;5013;4880;5188;5719;5781;5583;5211;5357
26950;-46.4346;-12.3981;Taguatinga;Sede Municipal;TOCANTINS;5566;5747;5568;5277;5212;5233;5167;5480;6089;6126;5793;5344;5761
27482;-47.2952;-12.2237;Conceição do Tocantins;Sede Municipal;TOCANTINS;5624;5787;5765;5432;5359;5300;5134;5435;5988;6126;5854;5574;5727
27485;-46.9914;-12.1922;Taipas do Tocantins;Sede Municipal;TOCANTINS;5629;5810;5791;5419;5399;5283;5156;5389;5945;6136;5873;5555;5790
27735;-49.1712;-12.1382;Figueirópolis;Sede Municipal;TOCANTINS;5284;5368;5404;5069;5104;5039;4776;5125;5744;5756;5492;5227;5301
27762;-46.4749;-12.0878;Ponte Alta do Bom Jesus;Sede Municipal;TOCANTINS;5526;5791;5625;5146;5048;5204;5112;5482;6033;6161;5785;5319;5602
28012;-48.9132;-11.9872;Sucupira;Sede Municipal;TOCANTINS;5325;5394;5504;5100;5146;5069;4845;5141;5698;5821;5552;5244;5387
28016;-48.5418;-12.0374;Peixe;Sede Municipal;TOCANTINS;5364;5452;5500;5166;5126;5032;4931;5225;5788;5831;5618;5306;5392
28019;-48.2357;-11.9747;São Valério da Natividade;Sede Municipal;TOCANTINS;5388;5447;5451;5110;5142;5122;4970;5284;5857;5916;5602;5357;5397
28285;-49.1613;-11.8885;Cariri do Tocantins;Sede Municipal;TOCANTINS;5260;5320;5375;5026;5051;5032;4802;5132;5716;5727;5454;5213;5272
28558;-49.5252;-11.8064;Formoso do Araguaia;Sede Municipal;TOCANTINS;5242;5324;5304;5076;4993;4991;4821;5030;5741;5620;5465;5213;5322
28587;-46.625;-11.8205;Novo Jardim;Sede Municipal;TOCANTINS;5499;5600;5429;5107;5150;5221;5182;5425;6120;6199;5712;5356;5483
28841;-49.0684;-11.7284;Gurupi;Sede Municipal;TOCANTINS;5282;5243;5384;5011;5021;5016;4868;5227;5806;5779;5464;5245;5316
28854;-47.7281;-11.7072;Natividade;Sede Municipal;TOCANTINS;5469;5518;5535;5146;5177;5191;5054;5370;6040;6064;5663;5394;5475
29133;-47.749;-11.6179;Chapada da Natividade;Sede Municipal;TOCANTINS;5453;5457;5510;5113;5157;5188;5075;5366;6031;6048;5676;5375;5436
29139;-47.1662;-11.5678;Almas;Sede Municipal;TOCANTINS;5535;5649;5532;5191;5235;5285;5163;5421;6080;6125;5746;5421;5575
29140;-47.0488;-11.6083;Porto Alegre do Tocantins;Sede Municipal;TOCANTINS;5540;5604;5489;5164;5240;5297;5194;5468;6141;6158;5757;5404;5562
29142;-46.8202;-11.6244;Dianópolis;Sede Municipal;TOCANTINS;5495;5558;5398;5092;5122;5249;5183;5489;6147;6216;5697;5354;5433
29690;-48.1191;-11.4476;Santa Rosa do Tocantins;Sede Municipal;TOCANTINS;5413;5434;5436;5078;5089;5128;5070;5395;6037;5929;5632;5345;5388
29703;-46.8843;-11.3969;Rio da Conceição;Sede Municipal;TOCANTINS;5373;5451;5260;4980;4981;5087;5111;5363;6033;6103;5564;5242;5306
29960;-49.272;-11.3421;Dueré;Sede Municipal;TOCANTINS;5274;5207;5202;4948;4994;5005;5023;5349;5965;5705;5418;5186;5291
29963;-48.9365;-11.306;Aliança do Tocantins;Sede Municipal;TOCANTINS;5283;5206;5293;4927;4996;5011;4966;5322;5930;5739;5467;5260;5274
30250;-48.4552;-11.2379;Ipueiras;Sede Municipal;TOCANTINS;5323;5199;5410;5059;5132;5100;5031;5184;5908;5797;5476;5275;5301
30534;-48.919;-11.1049;Crixás do Tocantins;Sede Municipal;TOCANTINS;5275;5189;5264;4937;4997;5038;5015;5372;5965;5664;5398;5241;5217
30542;-48.1698;-11.1475;Silvanópolis;Sede Municipal;TOCANTINS;5344;5357;5351;4969;5124;5119;5052;5289;5966;5878;5484;5237;5302
30548;-47.5782;-11.1358;Pindorama do Tocantins;Sede Municipal;TOCANTINS;5453;5441;5279;5026;5164;5215;5232;5511;6129;6118;5635;5320;5365
